Sequence	Annotation	Library_01	Library_02	Library_09	Library_10	Library_17	Library_18	Library_25	Library_26	Library_33	Library_34	Library_03	Library_04	Library_11	Library_12	Library_19	Library_20	Library_27	Library_28	Library_35	Library_36
URS0000019E12_10116:rRNA:Rattus_norvegicus	12S-rRNA	1196	2394	2390	886	7586	2225	2402	820	186	865	785	3698	940	2669	743	456	3076	4129	818	910
URS00000351A9_10116:rRNA:Rattus_norvegicus	16S-rRNA	36059	31348	37180	22505	50289	17998	48876	14899	3274	24151	23766	32837	37603	14439	28019	7369	31829	75404	27035	10384
URS00000382E0_10116:rRNA:Rattus_norvegicus	12S-rRNA	294	270	473	157	396	117	390	147	11	197	108	252	106	106	158	51	331	468	132	122
URS0000043A04_10116:rRNA:Rattus_norvegicus	NA	1060	2255	2127	774	7356	2150	2228	697	177	716	713	3544	848	2599	664	421	2883	3930	725	813
URS000005149C_10116:rRNA:Rattus_norvegicus	16S-rRNA	91045	79480	60097	37040	125693	32494	127908	26352	10649	60098	42513	58273	157718	22120	68963	13569	50295	211695	64608	24740
URS000006A105_10116:rRNA:Rattus_norvegicus	16S-rRNA	35872	31125	37168	22443	49836	17872	48160	14881	3274	23926	23631	32649	37473	14414	27828	7344	31809	74198	26874	10272
URS0000070986_10116:rRNA:Rattus_norvegicus	NA	1087	963	1643	858	2382	1762	2773	2042	627	1405	577	2134	3609	2611	5717	3130	2762	3754	3683	3640
URS00000C0F0F_10116:rRNA:Rattus_norvegicus	NA	15	8	19	4	5	8	11	2	8	3	3	12	3	9	21	6	16	8	20	6
URS00000C930E_10116:rRNA:Rattus_norvegicus	NA	315	274	481	170	400	118	452	151	11	202	113	260	118	107	162	54	340	484	134	125
URS00000EB250_10116:rRNA:Rattus_norvegicus	5S-rRNA	118	15	68	18	29	33	56	55	4	30	25	98	46	77	137	23	115	97	197	27
URS00000F446C_10116:rRNA:Rattus_norvegicus	NA	3	2	12	1	1	2	4	2	0	1	1	9	2	4	18	6	7	6	8	8
URS00000F8D11_10116:rRNA:Rattus_norvegicus	18S-rRNA	17	10	18	7	13	7	5	23	4	4	6	23	42	28	39	11	19	21	18	11
URS00000F9D45_10116:rRNA:Rattus_norvegicus	NA	1242	1662	1907	1227	1943	924	1536	1267	118	903	957	4831	1890	3987	4521	1629	2853	3493	2953	2144
URS0000114737_10116:rRNA:Rattus_norvegicus	16S-rRNA	82081	73472	45477	33020	115588	28370	117539	23675	10275	56690	39201	50208	154132	17867	63515	11873	39517	191937	59553	20951
URS0000121DBD_10116:rRNA:Rattus_norvegicus	NA	3	2	12	1	1	3	2	3	1	1	1	11	3	4	21	5	8	8	10	12
URS0000129B9F_10116:rRNA:Rattus_norvegicus	5S-rRNA	1290	1706	1936	1248	2033	940	1706	1294	125	946	989	4931	1992	4078	4639	1653	2906	3685	3046	2181
URS000012BFBF_10116:rRNA:Rattus_norvegicus	NA	621	548	1008	312	805	547	1210	739	170	475	261	1405	987	2879	2933	1023	998	2209	2197	1482
URS0000184DE3_10116:rRNA:Rattus_norvegicus	5S-rRNA	1302	1714	2026	1269	2045	986	1660	1309	118	942	1005	5031	1960	4074	4575	1668	2988	3648	3014	2162
URS00001AFCBA_10116:rRNA:Rattus_norvegicus	16S-rRNA	80803	72273	42516	31894	109816	26983	111904	22295	10110	54537	38227	48598	152373	16406	61331	11374	36729	185770	57734	20635
URS00001C1BDA_10116:rRNA:Rattus_norvegicus	28S-rRNA	212	117	366	194	480	272	846	371	188	108	140	455	857	1139	1022	387	375	1093	549	273
URS00001C66FD_10116:rRNA:Rattus_norvegicus	5S-rRNA	297	27	145	47	63	82	150	124	11	64	56	192	96	105	172	35	247	164	246	37
URS00001CAE00_10116:rRNA:Rattus_norvegicus	NA	770	340	1087	350	1021	709	1226	1452	246	552	301	1288	1836	1457	2307	992	1249	2060	1759	1281
URS00001CFD3C_10116:rRNA:Rattus_norvegicus	16S-rRNA	16318	13606	22162	9509	20258	7350	28537	5786	834	10168	7864	14820	8819	6865	9812	3130	16518	35640	10344	7061
URS00001D9CDD_10116:rRNA:Rattus_norvegicus	16S-rRNA	36031	31316	37187	22545	50201	17997	49201	14888	3276	24257	23728	32776	37628	14425	28013	7372	31836	74985	26929	10295
URS00001E528E_10116:rRNA:Rattus_norvegicus	NA	13184	9427	21774	7414	18839	8263	27237	6673	798	8114	6489	14425	9442	7887	10028	3665	16520	30679	10399	5621
URS00001F5E2D_10116:rRNA:Rattus_norvegicus	NA	1245	413	1694	379	945	709	1212	1398	225	677	293	1561	1614	1895	2971	973	1300	2121	1972	1506
URS0000233767_10116:rRNA:Rattus_norvegicus	18S-rRNA	300	118	363	134	293	338	622	116	60	245	93	436	240	644	775	500	332	804	961	686
URS0000246A92_10116:rRNA:Rattus_norvegicus	NA	138	88	246	53	122	50	108	278	61	63	65	534	235	1911	1420	359	270	473	722	335
URS0000252518_10116:rRNA:Rattus_norvegicus	16S-rRNA	68712	63803	22358	24560	94070	20548	79314	17314	9502	46987	32405	37610	146903	10113	54299	8693	21458	157999	50326	15061
URS00002E0D1E_10116:rRNA:Rattus_norvegicus	12S-rRNA	1001	1954	1911	718	5566	1711	1894	711	143	687	651	2943	817	2097	616	379	2262	2916	666	684
URS00002E5414_10116:rRNA:Rattus_norvegicus	12S-rRNA	1218	2397	2434	888	7609	2232	2480	825	187	872	787	3703	943	2672	749	457	3105	4213	821	917
URS0000315E21_10116:rRNA:Rattus_norvegicus	NA	1740	932	2679	1233	3075	2424	5728	4149	675	1844	1050	4127	5724	6088	9857	5116	3713	7192	5134	6567
URS000032987A_10116:rRNA:Rattus_norvegicus	NA	2	2	12	1	1	2	1	4	0	1	1	14	3	35	12	6	8	3	19	3
URS00003C1820_10116:rRNA:Rattus_norvegicus	12S-rRNA	1027	2265	2064	776	7288	2111	2130	727	177	737	694	3535	839	2560	633	413	2823	3767	705	835
URS00003E4DE0_10116:rRNA:Rattus_norvegicus	NA	8983	5805	16764	4273	13242	6473	11665	21640	3891	6801	4025	20872	24817	37701	59792	18262	17252	30862	29248	21645
URS00003ECA53_10116:rRNA:Rattus_norvegicus	NA	96	144	627	92	198	74	82	255	62	132	66	318	198	372	783	198	261	355	249	329
URS000040AC5B_10116:rRNA:Rattus_norvegicus	NA	660	574	1153	338	883	567	1211	880	282	559	264	1493	1079	3367	3260	1122	1079	2321	2423	1736
URS000041298D_10116:rRNA:Rattus_norvegicus	16S-rRNA	94112	82153	61673	38464	128427	33498	132299	26984	10803	61773	43897	60477	159013	22669	71192	14073	51848	217901	66611	25848
URS00004213B9_10116:rRNA:Rattus_norvegicus	NA	3641	2303	5279	1814	6063	3366	6219	8645	1280	2886	1637	7485	11084	11719	19851	7422	7367	11895	10972	8553
URS000042A8D3_10116:rRNA:Rattus_norvegicus	16S-rRNA	39516	33165	42607	24393	52684	19254	54710	15126	3344	25138	24867	35666	37288	15761	29110	7856	35920	82564	28705	11948
URS000042DA69_10116:rRNA:Rattus_norvegicus	12S-rRNA	294	270	473	157	396	117	390	147	11	197	108	252	106	106	158	51	331	468	132	122
URS0000430868_10116:rRNA:Rattus_norvegicus	NA	41680	35271	43007	25109	56188	20522	59819	16186	3610	27041	26100	37455	42668	15973	30909	8229	36292	90572	30794	13391
URS000043C9DC_10116:rRNA:Rattus_norvegicus	NA	13772	9582	22626	7720	19388	8358	29049	6070	768	8435	6746	14660	7840	8157	10231	3751	17245	32209	10698	5762
URS0000446A72_10116:rRNA:Rattus_norvegicus	12S-rRNA	1215	2396	2428	888	7609	2232	2480	825	187	872	787	3702	943	2672	749	457	3103	4212	821	916
URS000044CAB2_10116:rRNA:Rattus_norvegicus	NA	698	600	1178	348	889	585	1255	905	284	527	291	1632	1138	3671	3508	1180	1133	2421	2444	1671
URS000045493D_10116:rRNA:Rattus_norvegicus	NA	35887	31115	37177	22456	49867	17887	48361	14885	3274	23971	23639	32670	37555	14408	27830	7353	31833	74296	26900	10276
URS00004B2C76_10116:rRNA:Rattus_norvegicus	8S-rRNA	2592	1113	3598	1361	4728	3293	5517	6376	1007	2034	1119	5106	10620	8889	13858	5916	4817	12843	7390	10190
URS000050CFBE_10116:rRNA:Rattus_norvegicus	NA	68712	63803	22358	24560	94068	20548	79314	17314	9502	46987	32405	37610	146903	10113	54299	8693	21456	157999	50326	15061
URS000051C7BA_10116:rRNA:Rattus_norvegicus	NA	351	325	1530	266	704	233	335	1351	463	415	196	1171	856	2091	3312	854	849	1475	1583	1650
URS0000548AD6_10116:rRNA:Rattus_norvegicus	12S-rRNA	1215	2396	2428	888	7609	2232	2480	825	187	872	787	3702	943	2672	749	457	3103	4212	821	916
