Sequence	Annotation	Library_01	Library_02	Library_09	Library_10	Library_17	Library_18	Library_25	Library_26	Library_33	Library_34	Library_03	Library_04	Library_11	Library_12	Library_19	Library_20	Library_27	Library_28	Library_35	Library_36
URS000055DB75_10116:rRNA:Rattus_norvegicus	18S-rRNA	6	2	12	1	4	4	15	4	1	2	1	9	2	2	15	3	10	14	9	10
URS0000563E48_10116:rRNA:Rattus_norvegicus	12S-rRNA	1354	2525	2597	930	7751	2267	2616	844	188	914	821	3796	954	2704	822	473	3213	4396	857	936
URS00005BED90_10116:rRNA:Rattus_norvegicus	12S-rRNA	1201	839	2030	689	1668	657	2012	793	68	756	556	1064	885	617	748	298	1405	2464	648	510
URS00005F96B4_10116:rRNA:Rattus_norvegicus	NA	342	134	416	146	341	370	726	171	68	262	102	485	349	711	906	539	390	952	1060	810
URS0000600634_10116:rRNA:Rattus_norvegicus	NA	2	0	11	0	9	2	0	29	3	10	0	19	35	126	78	31	17	18	80	28
URS0000623A69_10116:rRNA:Rattus_norvegicus	5S-rRNA	1	0	0	0	0	0	0	0	0	0	0	2	1	0	4	0	0	1	1	3
URS0000623B20_10116:rRNA:Rattus_norvegicus	5S-rRNA	1	1	0	2	0	0	0	2	0	0	0	2	0	4	2	0	1	8	0	3
URS000062BB09_10116:rRNA:Rattus_norvegicus	5S-rRNA	108	271	193	139	147	79	30	63	5	86	123	583	109	472	582	191	306	286	352	240
URS000062CBFC_10116:rRNA:Rattus_norvegicus	5S-rRNA	10	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	7	0	2	2
URS000062CFE8_10116:rRNA:Rattus_norvegicus	5S-rRNA	1	0	1	1	0	0	0	0	0	0	1	3	1	2	4	1	1	0	5	0
URS0000632A3B_10116:rRNA:Rattus_norvegicus	8S-rRNA	8	12	12	6	11	5	6	4	0	6	5	26	4	23	33	10	21	24	27	12
URS000063333F_10116:rRNA:Rattus_norvegicus	8S-rRNA	1	4	1	1	1	0	0	6	0	0	1	5	3	3	8	2	5	6	6	4
URS0000635CDE_10116:rRNA:Rattus_norvegicus	8S-rRNA	1	1	20	2	9	5	0	17	0	5	1	6	1	9	29	11	12	8	3	14
URS00006361DF_10116:rRNA:Rattus_norvegicus	8S-rRNA	12	17	24	7	16	9	10	19	0	11	5	44	14	34	69	16	35	43	51	23
URS000063BBCE_10116:rRNA:Rattus_norvegicus	5S-rRNA	5	0	2	1	8	2	1	10	0	4	3	4	28	5	14	7	2	22	9	4
URS000064027A_10116:rRNA:Rattus_norvegicus	5S-rRNA	221	399	462	244	438	187	233	212	15	176	200	998	337	1045	1253	424	634	748	708	512
URS00006406EA_10116:rRNA:Rattus_norvegicus	8S-rRNA	80	40	175	50	76	89	42	65	4	51	59	145	67	164	296	127	160	133	206	107
URS0000643B88_10116:rRNA:Rattus_norvegicus	5S-rRNA	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
URS0000647009_10116:rRNA:Rattus_norvegicus	5S-rRNA	4	4	2	4	4	0	3	0	0	2	0	4	7	6	7	5	7	11	3	2
URS0000648714_10116:rRNA:Rattus_norvegicus	8S-rRNA	0	0	5	0	1	1	0	2	0	1	0	2	1	2	8	2	3	3	2	3
URS000064B988_10116:rRNA:Rattus_norvegicus	5S-rRNA	220	401	461	244	438	187	233	212	15	176	200	998	333	1047	1260	424	635	748	708	512
URS0000655224_10116:rRNA:Rattus_norvegicus	5S-rRNA	3	4	4	2	2	1	2	1	0	1	1	10	1	12	18	4	7	4	11	4
URS000065F441_10116:rRNA:Rattus_norvegicus	5S-rRNA	4	0	0	0	0	0	2	1	0	0	0	4	2	1	8	0	0	1	1	0
URS00006600A3_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
URS0000664B0F_10116:rRNA:Rattus_norvegicus	8S-rRNA	9	13	13	6	12	5	6	4	0	6	5	28	5	25	34	10	23	26	30	11
URS000066B264_10116:rRNA:Rattus_norvegicus	5S-rRNA	28	45	150	38	106	45	18	41	2	37	35	157	25	224	297	91	134	132	131	93
URS000066BFAD_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	1	0	0	1	0	0	0	0	0	0	2	0	0	2	0	1	0	0	1
URS000066C2F6_10116:rRNA:Rattus_norvegicus	5S-rRNA	40	421	1121	114	291	124	171	249	12	50	90	290	502	179	308	157	542	807	1015	282
URS00006721F7_10116:rRNA:Rattus_norvegicus	8S-rRNA	4	8	7	4	4	3	3	1	0	2	3	18	4	16	16	4	15	13	16	8
URS00006747E1_10116:rRNA:Rattus_norvegicus	5S-rRNA	265	439	479	261	520	198	397	234	20	213	229	1070	435	1130	1361	448	679	932	795	542
URS0000675422_10116:rRNA:Rattus_norvegicus	5S-rRNA	3	0	2	0	5	0	0	0	0	0	0	0	0	8	5	0	2	4	3	3
URS0000678D83_10116:rRNA:Rattus_norvegicus	5S-rRNA	110	271	195	140	148	80	31	64	5	86	125	587	112	472	581	193	306	288	356	240
URS0000681EA5_10116:rRNA:Rattus_norvegicus	8S-rRNA	8	12	12	6	11	5	6	4	0	6	5	26	4	23	33	10	21	24	27	12
URS00006851EC_10116:rRNA:Rattus_norvegicus	5S-rRNA	3	0	0	0	2	0	2	0	0	0	0	0	0	0	4	0	0	0	0	1
URS0000688048_10116:rRNA:Rattus_norvegicus	5S-rRNA	27	45	147	36	107	45	17	40	2	37	36	150	25	218	291	88	136	128	126	92
URS000068BAC4_10116:rRNA:Rattus_norvegicus	8S-rRNA	0	0	5	0	1	1	0	2	0	1	0	2	1	2	8	2	3	2	2	3
URS000068DB7A_10116:rRNA:Rattus_norvegicus	8S-rRNA	1	1	1	1	1	0	0	1	0	0	0	2	5	5	1	0	2	2	3	0
URS000068E002_10116:rRNA:Rattus_norvegicus	8S-rRNA	59	23	134	42	52	80	21	27	4	30	48	101	47	117	204	98	115	84	157	67
URS000068E2EB_10116:rRNA:Rattus_norvegicus	8S-rRNA	9	12	11	6	11	4	6	3	0	6	5	28	4	23	35	9	23	29	27	14
URS00006937AE_10116:rRNA:Rattus_norvegicus	5S-rRNA	2	4	0	0	0	0	0	0	0	0	0	13	2	0	13	0	8	7	12	10
URS0000698146_10116:rRNA:Rattus_norvegicus	8S-rRNA	64	32	142	45	58	79	25	38	4	32	51	117	53	132	225	104	132	97	176	77
URS00006A2E5A_10116:rRNA:Rattus_norvegicus	5S-rRNA	4	1	0	0	2	0	3	2	0	0	0	9	6	7	11	1	2	10	5	1
URS00006A9618_10116:rRNA:Rattus_norvegicus	8S-rRNA	19	27	49	13	37	15	21	33	1	20	10	64	23	64	118	31	61	75	71	44
URS00006BEFCF_10116:rRNA:Rattus_norvegicus	5S-rRNA	7	10	106	19	71	31	2	27	1	23	19	74	5	104	166	50	86	78	38	43
URS00006C471C_10116:rRNA:Rattus_norvegicus	5S-rRNA	3	2	5	7	4	0	7	0	0	3	5	16	1	29	28	7	9	6	11	27
URS00006C6C27_10116:rRNA:Rattus_norvegicus	5S-rRNA	3	0	0	0	0	0	0	0	0	0	0	2	1	1	3	0	0	0	1	1
URS00006CE1FB_10116:rRNA:Rattus_norvegicus	8S-rRNA	1280	647	1874	794	2480	1737	2669	2998	393	840	631	2805	5355	5232	7912	3200	2674	7039	3624	5412
URS00006D2DB5_10116:rRNA:Rattus_norvegicus	8S-rRNA	1	1	2	1	5	1	0	9	0	2	0	6	3	3	9	0	5	10	3	5
URS00006D6599_10116:rRNA:Rattus_norvegicus	5S-rRNA	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS00006DD1E4_10116:rRNA:Rattus_norvegicus	5S-rRNA	220	398	461	244	438	187	233	212	15	176	200	998	333	1045	1253	424	634	748	708	512
URS00006E79BE_10116:rRNA:Rattus_norvegicus	8S-rRNA	2	4	8	2	2	3	1	1	0	1	2	10	3	7	9	2	10	7	12	4
URS00006E7A73_10116:rRNA:Rattus_norvegicus	5S-rRNA	43	68	175	52	140	54	46	48	3	47	47	231	53	317	392	123	175	193	193	130
URS00006EF96A_10116:rRNA:Rattus_norvegicus	5S-rRNA	165	297	373	183	324	145	172	139	10	130	153	760	244	802	949	302	497	550	558	373
URS00006F129F_10116:rRNA:Rattus_norvegicus	5S-rRNA	64	99	217	77	180	78	78	73	5	60	65	338	91	435	490	162	247	265	276	188
URS00006F51B2_10116:rRNA:Rattus_norvegicus	8S-rRNA	15	22	37	9	28	12	17	23	1	15	8	52	14	50	94	24	48	54	61	30
URS00006F76D3_10116:rRNA:Rattus_norvegicus	5S-rRNA	29	46	149	38	108	45	18	41	2	38	36	158	25	227	301	92	135	132	134	95
URS00007049D1_10116:rRNA:Rattus_norvegicus	8S-rRNA	0	1	21	2	8	5	0	17	0	5	1	6	1	9	28	11	11	6	4	15
URS0000706122_10116:rRNA:Rattus_norvegicus	5S-rRNA	9	3	4	2	3	4	2	3	0	1	2	16	4	10	14	3	11	11	18	3
URS0000709ED9_10116:rRNA:Rattus_norvegicus	5S-rRNA	1	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	1	0
URS000070B001_10116:rRNA:Rattus_norvegicus	5S-rRNA	7	10	106	19	71	31	2	27	1	23	19	74	5	99	167	50	86	80	38	43
URS0000713A83_10116:rRNA:Rattus_norvegicus	5S-rRNA	10	15	4	13	16	2	8	0	0	4	9	63	14	79	60	30	37	48	21	52
URS0000714871_10116:rRNA:Rattus_norvegicus	5S-rRNA	111	271	195	140	150	80	31	64	5	86	123	587	115	471	579	192	306	288	355	243
URS000072278E_10116:rRNA:Rattus_norvegicus	8S-rRNA	61	23	137	43	54	81	23	30	4	31	48	102	48	122	208	100	118	92	167	70
URS00007289C9_10116:rRNA:Rattus_norvegicus	8S-rRNA	5	11	9	5	5	3	3	6	0	2	4	22	5	18	23	6	17	19	21	11
URS000072D7A4_10116:rRNA:Rattus_norvegicus	5S-rRNA	28	48	148	38	116	47	18	43	2	37	41	172	30	229	311	91	155	156	139	96
URS000075E2C7_10116:rRNA:Rattus_norvegicus	NA	12626	7731	22206	6180	19570	10758	19239	29713	5343	9665	5575	28304	38059	51068	78735	26089	23981	47735	40276	34873
URS00007C4790_10116:rRNA:Rattus_norvegicus	12S-rRNA	917	641	1606	544	1498	637	1652	649	60	566	462	948	783	591	594	251	1169	2046	534	395
URS00007CBB77_10116:rRNA:Rattus_norvegicus	16S-rRNA	12151	8258	20921	6401	17287	7128	27167	5769	673	7216	5391	11500	7403	6631	9143	3023	15531	27594	9151	4475
URS00007CD0E6_10116:rRNA:Rattus_norvegicus	12S-rRNA	193	126	383	113	275	105	337	98	8	137	94	171	104	102	119	46	254	406	117	79
URS00007D4C97_10116:rRNA:Rattus_norvegicus	16S-rRNA	11882	8145	20448	6280	16962	7032	26759	5666	662	7092	5289	11304	7277	6524	8941	2967	15220	27032	8982	4402
URS00007D6E2A_10116:rRNA:Rattus_norvegicus	12S-rRNA	1060	2263	2134	774	7374	2153	2233	696	177	716	714	3553	848	2600	665	421	2890	3939	725	813
URS00007DD4C2_10116:rRNA:Rattus_norvegicus	16S-rRNA	22038	16767	30431	13141	28925	11719	46131	8595	1205	14294	10792	22218	12503	10579	14731	4921	24042	50861	15654	9273
URS00007E6FB4_10116:rRNA:Rattus_norvegicus	12S-rRNA	1060	2255	2126	774	7356	2150	2228	697	177	716	713	3544	848	2599	664	421	2883	3929	725	813
URS00007EFDFE_10116:rRNA:Rattus_norvegicus	12S-rRNA	874	585	1504	537	1255	522	1538	678	58	581	430	813	771	486	560	238	1050	1881	497	414
URS00007F72B6_10116:rRNA:Rattus_norvegicus	12S-rRNA	447	1946	1030	395	6406	1695	976	196	130	352	372	2967	174	2171	231	226	2092	2332	340	538
URS000080C7DD_10116:rRNA:Rattus_norvegicus	12S-rRNA	1062	710	1860	648	1525	622	1875	774	66	714	522	970	874	586	676	282	1295	2279	612	491
URS0000826BF9_10116:rRNA:Rattus_norvegicus	12S-rRNA	989	685	1726	600	1439	574	1750	731	63	640	474	911	851	540	631	257	1207	2132	563	446
URS00008C43AE_10116:rRNA:Rattus_norvegicus	NA	9	0	6	2	1	1	4	14	0	2	5	13	9	113	201	61	9	15	21	32
URS00008C4515_10116:rRNA:Rattus_norvegicus	NA	7	5	7	3	19	5	28	11	1	5	3	12	32	12	18	4	17	30	10	13
URS00008C45F1_10116:rRNA:Rattus_norvegicus	NA	1	0	1	0	0	0	0	0	0	3	0	1	0	2	6	1	0	4	0	4
URS00008C47B3_10116:rRNA:Rattus_norvegicus	NA	1	0	0	0	0	0	0	3	0	0	0	10	0	4	6	2	0	1	6	1
URS00008C529B_10116:rRNA:Rattus_norvegicus	NA	1	0	1	0	0	0	0	0	0	0	0	1	0	2	6	1	0	0	0	4
URS00008C52DA_10116:rRNA:Rattus_norvegicus	NA	9	0	6	2	1	1	4	14	0	2	5	13	9	113	201	61	9	15	21	32
URS00008C5677_10116:rRNA:Rattus_norvegicus	NA	2	1	3	0	3	1	0	1	0	0	0	2	0	1	2	0	0	0	2	1
URS00008C59CC_10116:rRNA:Rattus_norvegicus	NA	1	0	1	0	0	0	0	0	0	0	0	1	0	2	6	1	0	0	0	7
URS00008C5C0D_10116:rRNA:Rattus_norvegicus	NA	9	1	8	1	2	1	5	15	1	2	6	14	11	114	201	62	10	16	23	38
URS00008C6042_10116:rRNA:Rattus_norvegicus	NA	1	0	1	0	0	0	0	0	0	0	0	1	0	2	4	1	0	0	0	5
URS00008C6232_10116:rRNA:Rattus_norvegicus	NA	423	525	871	239	647	239	589	823	216	311	217	1305	815	3188	2840	707	857	1588	1490	932
URS00008C6266_10116:rRNA:Rattus_norvegicus	NA	8	1	10	0	4	4	0	7	0	3	0	7	2	7	16	6	3	3	7	16
URS00008C644C_10116:rRNA:Rattus_norvegicus	NA	9	14	38	4	26	3	12	36	12	4	9	94	16	568	524	119	91	93	216	121
URS00008C6A58_10116:rRNA:Rattus_norvegicus	NA	233	288	448	119	283	108	203	425	151	125	116	613	342	1757	1473	356	407	660	747	399
URS00008C723E_10116:rRNA:Rattus_norvegicus	NA	1	0	1	0	0	0	0	0	0	0	0	3	0	2	4	1	0	0	4	5
URS00008C7868_10116:rRNA:Rattus_norvegicus	NA	435	530	892	243	676	245	621	859	220	320	221	1322	862	3211	2887	715	881	1630	1514	957
URS00008C78CD_10116:rRNA:Rattus_norvegicus	NA	32	18	45	12	42	15	31	81	7	17	10	44	105	59	101	24	46	63	49	43
URS00008C7CF0_10116:rRNA:Rattus_norvegicus	NA	338	464	753	205	555	192	439	701	210	298	176	1060	656	2709	2399	602	703	1299	1323	866
URS00008C7F7F_10116:rRNA:Rattus_norvegicus	NA	32	18	45	12	42	15	31	81	7	17	10	44	105	59	101	24	46	63	49	43
URS00008C8501_10116:rRNA:Rattus_norvegicus	NA	5	9	7	3	17	5	14	18	1	4	2	14	33	13	17	3	14	21	10	10
URS00008C8B6E_10116:rRNA:Rattus_norvegicus	NA	1	0	1	0	0	0	0	0	0	0	0	1	0	2	4	1	0	0	0	4
URS00008C9565_10116:rRNA:Rattus_norvegicus	NA	7	5	7	3	19	5	25	11	1	5	3	12	32	12	17	4	16	28	10	12
URS00008C96FC_10116:rRNA:Rattus_norvegicus	NA	2	0	2	0	0	0	0	1	0	0	0	1	0	1	2	2	1	1	0	0
URS00008CA36B_10116:rRNA:Rattus_norvegicus	NA	640	520	2114	365	1045	548	882	1805	576	642	287	1794	1644	3316	4984	1444	1408	2462	2544	1846
URS00008CA49B_10116:rRNA:Rattus_norvegicus	NA	424	522	877	241	652	242	607	825	217	310	219	1308	811	3189	2833	704	870	1614	1493	944
URS00008CAA77_10116:rRNA:Rattus_norvegicus	NA	1013	774	3277	577	1545	691	1038	3003	749	999	458	2869	2573	6285	7609	2165	2179	3628	4336	2962
URS00008CAD43_10116:rRNA:Rattus_norvegicus	NA	2	1	5	0	3	3	0	4	10	0	0	7	3	6	5	6	3	2	6	11
URS00008CB01C_10116:rRNA:Rattus_norvegicus	NA	589	527	1945	337	972	515	801	1540	543	563	281	1732	1428	2974	4597	1334	1285	2317	2157	1709
URS00008CB13B_10116:rRNA:Rattus_norvegicus	NA	9	0	6	2	1	1	4	14	0	2	5	13	11	113	201	61	9	15	21	32
URS00008CB4B4_10116:rRNA:Rattus_norvegicus	NA	2	7	3	1	2	1	0	2	76	0	1	10	3	41	31	6	3	6	21	7
URS00008CB5BD_10116:rRNA:Rattus_norvegicus	NA	328	312	712	172	503	188	519	705	187	257	150	1064	675	2718	2475	613	698	1341	1331	822
URS00008CB810_10116:rRNA:Rattus_norvegicus	NA	418	520	880	237	650	245	609	843	216	320	216	1301	802	3182	2840	703	867	1615	1498	959
URS00008CBA26_10116:rRNA:Rattus_norvegicus	NA	0	1	8	0	3	3	2	3	0	0	2	7	2	6	3	4	5	5	6	10
URS00008CBDB7_10116:rRNA:Rattus_norvegicus	NA	609	540	2186	399	1018	510	826	1755	612	650	297	1818	1539	3336	5050	1457	1369	2445	2394	1953
URS00008CC199_10116:rRNA:Rattus_norvegicus	NA	664	598	2355	413	1141	586	924	1910	523	702	309	1997	1684	3834	5377	1585	1497	2705	2723	2128
URS00008CC51F_10116:rRNA:Rattus_norvegicus	NA	614	509	2018	347	1002	523	840	1704	558	596	274	1737	1545	3164	4808	1377	1354	2372	2384	1724
URS00008CC58A_10116:rRNA:Rattus_norvegicus	NA	413	505	843	227	612	230	558	827	208	289	212	1259	786	3127	2773	690	826	1502	1454	880
URS00008CD1C6_10116:rRNA:Rattus_norvegicus	NA	7	5	8	3	20	5	28	13	1	5	3	13	33	15	19	4	18	31	11	14
URS00008CD9AE_10116:rRNA:Rattus_norvegicus	NA	551	534	2039	339	937	479	640	1459	573	576	281	1709	1331	2838	4258	1195	1255	2044	2103	1685
URS00008CE58F_10116:rRNA:Rattus_norvegicus	NA	6	5	8	3	18	5	16	17	2	6	2	13	36	18	19	5	19	25	15	14
URS00008CE808_10116:rRNA:Rattus_norvegicus	NA	2	2	5	2	2	1	2	7	4	2	1	5	0	7	10	0	5	8	6	3
URS00008CF116_10116:rRNA:Rattus_norvegicus	NA	1	0	1	0	0	0	0	0	0	0	0	3	1	16	4	1	0	0	0	7
URS00008CF47F_10116:rRNA:Rattus_norvegicus	NA	357	469	779	217	577	202	485	727	214	294	182	1072	699	2735	2429	613	726	1332	1340	855
URS00008CF9CF_10116:rRNA:Rattus_norvegicus	NA	5	5	8	3	17	5	14	11	1	4	2	12	31	14	15	3	16	22	11	12
URS00008CFDE4_10116:rRNA:Rattus_norvegicus	NA	377	490	778	215	561	210	486	727	212	266	203	1198	712	3013	2646	660	758	1403	1345	806
URS00008D0477_10116:rRNA:Rattus_norvegicus	NA	7	5	8	3	20	5	28	13	1	5	3	13	33	15	19	4	18	31	11	14
URS00008D0F56_10116:rRNA:Rattus_norvegicus	NA	3955	2171	8117	1901	5799	2563	5302	11558	2404	2834	1823	9645	12371	19961	27880	8364	7458	14515	14662	10292
URS00008D0FAE_10116:rRNA:Rattus_norvegicus	NA	166	279	411	105	259	89	130	323	156	105	96	494	289	1245	1018	242	325	478	392	303
