Sequence	Annotation	Library_01	Library_02	Library_09	Library_10	Library_17	Library_18	Library_25	Library_26	Library_33	Library_34	Library_07	Library_08	Library_15	Library_16	Library_23	Library_24	Library_31	Library_32	Library_39	Library_40
URS000041298D_10116:rRNA:Rattus_norvegicus	16S-rRNA	94112	82153	61673	38464	128427	33498	132299	26984	10803	61773	7783	11819	33939	40930	2990	400	17063	6931	18252	25988
URS00004213B9_10116:rRNA:Rattus_norvegicus	NA	3641	2303	5279	1814	6063	3366	6219	8645	1280	2886	211964	68696	151355	21014	28925	2658	67446	135972	30389	47046
URS000042A8D3_10116:rRNA:Rattus_norvegicus	16S-rRNA	39516	33165	42607	24393	52684	19254	54710	15126	3344	25138	3055	7495	14350	20840	1426	281	9304	4954	6533	7262
URS000042DA69_10116:rRNA:Rattus_norvegicus	12S-rRNA	294	270	473	157	396	117	390	147	11	197	23	45	72	122	3	2	64	29	39	37
URS0000430868_10116:rRNA:Rattus_norvegicus	NA	41680	35271	43007	25109	56188	20522	59819	16186	3610	27041	3257	7697	15536	22252	1621	282	9644	5007	7044	8777
URS000043C9DC_10116:rRNA:Rattus_norvegicus	NA	13772	9582	22626	7720	19388	8358	29049	6070	768	8435	1850	4428	7969	9243	444	133	4791	2720	2328	3051
URS0000446A72_10116:rRNA:Rattus_norvegicus	12S-rRNA	1215	2396	2428	888	7609	2232	2480	825	187	872	260	527	698	1126	60	14	363	1010	202	515
URS000044CAB2_10116:rRNA:Rattus_norvegicus	NA	698	600	1178	348	889	585	1255	905	284	527	29475	13961	31792	7294	2072	412	13592	29003	9157	10778
URS000045493D_10116:rRNA:Rattus_norvegicus	NA	35887	31115	37177	22456	49867	17887	48361	14885	3274	23971	2690	6626	12806	19627	1442	253	8375	4648	6146	6749
URS00004B2C76_10116:rRNA:Rattus_norvegicus	8S-rRNA	2592	1113	3598	1361	4728	3293	5517	6376	1007	2034	84532	71662	108646	12538	13017	1273	56776	76395	12901	46714
URS000050CFBE_10116:rRNA:Rattus_norvegicus	NA	68712	63803	22358	24560	94068	20548	79314	17314	9502	46987	4471	4378	20660	26114	2338	172	9022	2953	14168	18537
URS000051C7BA_10116:rRNA:Rattus_norvegicus	NA	351	325	1530	266	704	233	335	1351	463	415	35882	8178	18063	4211	1786	332	6906	15236	4098	4061
URS0000548AD6_10116:rRNA:Rattus_norvegicus	12S-rRNA	1215	2396	2428	888	7609	2232	2480	825	187	872	260	527	698	1128	60	14	363	1010	202	515
URS000055DB75_10116:rRNA:Rattus_norvegicus	18S-rRNA	6	2	12	1	4	4	15	4	1	2	163	40	129	14	2	2	36	38	9	34
URS0000563E48_10116:rRNA:Rattus_norvegicus	12S-rRNA	1354	2525	2597	930	7751	2267	2616	844	188	914	268	544	734	1160	62	14	391	1022	214	529
URS00005BED90_10116:rRNA:Rattus_norvegicus	12S-rRNA	1201	839	2030	689	1668	657	2012	793	68	756	136	290	524	672	41	13	366	165	165	214
URS00005F96B4_10116:rRNA:Rattus_norvegicus	NA	342	134	416	146	341	370	726	171	68	262	8858	3026	7087	1169	414	186	2724	3664	1635	4183
URS0000600634_10116:rRNA:Rattus_norvegicus	NA	2	0	11	0	9	2	0	29	3	10	1584	443	1315	157	155	13	570	1841	414	382
URS0000623A69_10116:rRNA:Rattus_norvegicus	5S-rRNA	1	0	0	0	0	0	0	0	0	0	4	5	12	4	1	0	9	17	7	3
URS0000623B20_10116:rRNA:Rattus_norvegicus	5S-rRNA	1	1	0	2	0	0	0	2	0	0	14	1	13	1	0	0	10	5	0	0
URS000062BB09_10116:rRNA:Rattus_norvegicus	5S-rRNA	108	271	193	139	147	79	30	63	5	86	277	898	1163	635	103	30	771	1624	323	185
URS000062CBFC_10116:rRNA:Rattus_norvegicus	5S-rRNA	10	0	0	0	0	0	0	0	0	0	0	32	23	14	0	0	2	39	4	4
URS000062CFE8_10116:rRNA:Rattus_norvegicus	5S-rRNA	1	0	1	1	0	0	0	0	0	0	0	5	8	1	0	0	3	9	0	0
URS0000632A3B_10116:rRNA:Rattus_norvegicus	8S-rRNA	8	12	12	6	11	5	6	4	0	6	135	82	186	32	6	1	62	122	37	41
URS000063333F_10116:rRNA:Rattus_norvegicus	8S-rRNA	1	4	1	1	1	0	0	6	0	0	129	51	97	10	16	3	57	96	20	25
URS0000635CDE_10116:rRNA:Rattus_norvegicus	8S-rRNA	1	1	20	2	9	5	0	17	0	5	115	22	54	14	17	6	26	25	5	2
URS00006361DF_10116:rRNA:Rattus_norvegicus	8S-rRNA	12	17	24	7	16	9	10	19	0	11	236	133	291	60	30	4	128	233	60	54
URS000063BBCE_10116:rRNA:Rattus_norvegicus	5S-rRNA	5	0	2	1	8	2	1	10	0	4	64	23	60	10	20	0	31	27	25	13
URS000064027A_10116:rRNA:Rattus_norvegicus	5S-rRNA	221	399	462	244	438	187	233	212	15	176	1979	2578	4309	1317	278	81	2145	4584	912	876
URS00006406EA_10116:rRNA:Rattus_norvegicus	8S-rRNA	80	40	175	50	76	89	42	65	4	51	1008	563	1426	216	112	37	482	731	247	564
URS0000643B88_10116:rRNA:Rattus_norvegicus	5S-rRNA	3	0	2	0	0	0	0	0	0	0	4	4	4	0	0	0	0	3	0	0
URS0000647009_10116:rRNA:Rattus_norvegicus	5S-rRNA	4	4	2	4	4	0	3	0	0	2	33	19	55	13	3	1	21	26	7	13
URS0000648714_10116:rRNA:Rattus_norvegicus	8S-rRNA	0	0	5	0	1	1	0	2	0	1	25	11	32	5	2	1	7	12	2	2
URS000064B988_10116:rRNA:Rattus_norvegicus	5S-rRNA	220	401	461	244	438	187	233	212	15	176	1979	2577	4304	1321	278	81	2149	4596	913	877
URS0000655224_10116:rRNA:Rattus_norvegicus	5S-rRNA	3	4	4	2	2	1	2	1	0	1	19	22	49	17	6	1	15	63	25	11
URS000065F441_10116:rRNA:Rattus_norvegicus	5S-rRNA	4	0	0	0	0	0	2	1	0	0	0	2	3	0	0	0	4	6	1	1
URS00006600A3_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	1
URS0000664B0F_10116:rRNA:Rattus_norvegicus	8S-rRNA	9	13	13	6	12	5	6	4	0	6	134	82	183	32	6	1	64	129	38	41
URS000066B264_10116:rRNA:Rattus_norvegicus	5S-rRNA	28	45	150	38	106	45	18	41	2	37	719	434	984	276	72	25	414	933	272	170
URS000066BFAD_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	1	0	0	1	0	0	0	0	0	0	1	3	1	0	0	6	5	2	0
URS000066C2F6_10116:rRNA:Rattus_norvegicus	5S-rRNA	40	421	1121	114	291	124	171	249	12	50	4472	1244	15956	336	219	4	726	1463	298	1367
URS00006721F7_10116:rRNA:Rattus_norvegicus	8S-rRNA	4	8	7	4	4	3	3	1	0	2	21	33	59	17	2	0	23	51	15	9
URS00006747E1_10116:rRNA:Rattus_norvegicus	5S-rRNA	265	439	479	261	520	198	397	234	20	213	2394	2926	4651	1489	333	86	2367	5130	1063	1078
URS0000675422_10116:rRNA:Rattus_norvegicus	5S-rRNA	3	0	2	0	5	0	0	0	0	0	2	24	14	3	3	0	12	20	11	10
URS0000678D83_10116:rRNA:Rattus_norvegicus	5S-rRNA	110	271	195	140	148	80	31	64	5	86	294	900	1172	632	104	31	771	1625	323	187
