Sequence	Annotation	Library_01	Library_02	Library_09	Library_10	Library_17	Library_18	Library_25	Library_26	Library_33	Library_34	Library_07	Library_08	Library_15	Library_16	Library_23	Library_24	Library_31	Library_32	Library_39	Library_40
URS00008D0F56_10116:rRNA:Rattus_norvegicus	NA	3955	2171	8117	1901	5799	2563	5302	11558	2404	2834	332736	107242	245030	37446	40732	3607	104000	233059	47555	65861
URS00008D0FAE_10116:rRNA:Rattus_norvegicus	NA	166	279	411	105	259	89	130	323	156	105	8734	3981	7860	2388	876	108	4730	10038	2619	2036
URS00008D1573_10116:rRNA:Rattus_norvegicus	NA	330	456	738	208	550	192	462	654	209	280	20045	9702	21697	5638	1521	193	9731	23785	7354	6042
URS00008D160B_10116:rRNA:Rattus_norvegicus	NA	2	1	5	0	3	3	0	4	10	0	187	35	86	3	3	1	14	103	7	31
URS00008D1DEC_10116:rRNA:Rattus_norvegicus	NA	439	530	902	245	670	248	620	880	221	321	24166	11574	25164	6616	1887	264	11991	27574	8131	6835
URS00008D1F6F_10116:rRNA:Rattus_norvegicus	NA	2	0	2	0	0	0	0	1	0	0	29	7	7	2	1	0	2	14	1	2
URS000090178B_10116:rRNA:Rattus_norvegicus	NA	1	0	0	0	0	0	0	0	2	0	1	3	6	6	1	0	1	11	6	2
URS0000902D09_10116:rRNA:Rattus_norvegicus	NA	54	77	128	36	93	46	26	41	4	29	1008	300	772	296	28	9	261	671	243	102
URS0000909F75_10116:rRNA:Rattus_norvegicus	NA	0	0	0	0	0	0	0	0	0	0	29	57	84	63	0	0	78	223	31	3
URS000091179F_10116:rRNA:Rattus_norvegicus	NA	7098	5139	11749	3716	8236	3496	9175	3220	349	4014	674	1559	2555	3882	210	65	2063	1059	1005	935
URS0000914659_10116:rRNA:Rattus_norvegicus	NA	1	1	0	0	0	2	0	0	4	1	10	0	1	2	0	0	1	0	0	0
URS0000914707_10116:rRNA:Rattus_norvegicus	NA	6	3	3	3	2	4	0	2	0	0	13	1	6	1	0	3	1	6	0	1
URS00009173F1_10116:rRNA:Rattus_norvegicus	NA	5	8	8	1	2	2	1	7	3	0	570	310	473	175	60	11	616	827	162	146
URS0000919F5B_10116:rRNA:Rattus_norvegicus	NA	0	1	5	0	3	2	0	3	0	0	143	25	64	15	4	0	17	111	8	22
URS000091AE79_10116:rRNA:Rattus_norvegicus	NA	7	9	13	4	11	4	2	9	3	2	88	46	111	37	10	1	45	116	29	18
URS0000922651_10116:rRNA:Rattus_norvegicus	NA	2	2	5	2	2	1	2	7	4	2	159	43	101	22	1	2	23	103	33	33
URS000092A4E6_10116:rRNA:Rattus_norvegicus	NA	11	8	45	4	7	5	5	6	46	11	486	135	339	151	12	5	137	346	166	75
URS000092AD7A_10116:rRNA:Rattus_norvegicus	NA	2	0	2	0	0	0	0	0	0	0	26	9	12	4	0	0	2	12	7	4
URS00009365D8_10116:rRNA:Rattus_norvegicus	NA	1	2	0	1	4	1	0	0	0	2	8	1	6	1	0	0	0	10	0	1
URS0000937011_10116:rRNA:Rattus_norvegicus	NA	34	15	56	20	27	22	22	22	3	17	741	287	576	223	56	28	363	633	241	155
URS000093AA4A_10116:rRNA:Rattus_norvegicus	NA	2	2	23	6	0	0	7	16	7	32	238	9	50	58	2	5	21	27	31	3
URS000093B363_10116:rRNA:Rattus_norvegicus	18S-rRNA	758	640	1292	375	1004	621	1394	1039	292	582	32512	14820	33586	7702	2263	437	14432	30657	9682	11481
URS000093DFDB_10116:rRNA:Rattus_norvegicus	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000093E0CA_10116:rRNA:Rattus_norvegicus	NA	57	52	192	31	83	29	52	136	75	61	3741	973	2002	612	204	34	945	1799	519	525
URS0000943CF9_10116:rRNA:Rattus_norvegicus	NA	13	8	59	6	15	5	1	20	69	5	557	195	340	44	62	5	209	460	25	38
URS0000946A4E_10116:rRNA:Rattus_norvegicus	NA	1077	2266	2156	793	7429	2197	2293	709	177	733	245	511	684	1056	62	12	336	999	175	497
URS000094A2F1_10116:rRNA:Rattus_norvegicus	5S-rRNA	65	151	115	74	72	41	16	27	3	45	124	449	569	335	50	14	353	778	190	103
URS000094BA1E_10116:rRNA:Rattus_norvegicus	NA	4	4	7	3	5	2	1	5	2	2	37	31	60	20	4	1	24	61	19	8
URS000094D92F_10116:rRNA:Rattus_norvegicus	NA	3	1	4	3	1	0	1	0	15	3	61	8	20	7	7	0	7	12	7	2
URS0000950074_10116:rRNA:Rattus_norvegicus	NA	0	0	14	1	4	1	11	4	1	2	256	16	40	15	2	2	9	19	8	4
URS00009545B3_10116:rRNA:Rattus_norvegicus	NA	7	11	68	7	12	5	8	36	11	14	911	74	288	87	10	18	74	116	81	34
URS0000959A92_10116:rRNA:Rattus_norvegicus	8S-rRNA	0	0	5	0	1	1	0	2	0	1	38	14	50	7	2	1	7	13	2	22
URS0000959E4B_10116:rRNA:Rattus_norvegicus	NA	13	11	60	8	14	5	3	10	87	13	408	57	139	53	9	4	54	122	31	14
URS000095E0F7_10116:rRNA:Rattus_norvegicus	NA	4	12	11	2	6	1	3	6	5	5	936	313	492	76	9	3	181	406	79	142
URS0000960338_10116:rRNA:Rattus_norvegicus	NA	9	0	6	1	2	1	5	15	1	4	176	399	541	722	36	26	509	1299	191	48
URS0000968617_10116:rRNA:Rattus_norvegicus	NA	5	7	76	6	16	18	2	14	0	12	1168	175	495	100	97	7	125	482	82	123
URS000096C621_10116:rRNA:Rattus_norvegicus	NA	10	0	6	1	3	1	4	14	3	2	178	397	535	719	36	25	509	1288	191	48
URS0000970FEF_10116:rRNA:Rattus_norvegicus	NA	2	2	3	0	1	0	0	0	1	0	32	4	7	3	0	0	2	3	0	1
URS00009713B6_10116:rRNA:Rattus_norvegicus	NA	0	0	15	1	1	0	0	1	2	3	103	3	13	5	1	1	2	4	0	0
URS0000971876_10116:rRNA:Rattus_norvegicus	NA	8	8	73	9	20	13	4	24	1	9	678	181	345	142	42	9	154	439	137	95
URS00009718EB_10116:rRNA:Rattus_norvegicus	NA	39	69	319	57	106	42	42	113	14	89	5189	986	2292	697	109	39	812	1881	690	454
URS0000972191_10116:rRNA:Rattus_norvegicus	NA	3	3	10	1	1	1	1	2	0	2	50	27	43	23	2	1	20	54	15	8
URS000097262E_10116:rRNA:Rattus_norvegicus	NA	0	0	1	0	0	0	0	0	0	0	15	2	6	1	0	0	2	8	2	1
URS000097B3AD_10116:rRNA:Rattus_norvegicus	NA	80	19	65	20	53	29	123	145	15	39	1983	523	1129	331	178	28	507	1199	340	273
URS000097CE27_10116:rRNA:Rattus_norvegicus	NA	15	15	98	12	19	8	4	19	19	18	1067	198	410	155	19	11	187	374	79	63
URS0000986811_10116:rRNA:Rattus_norvegicus	NA	4	5	26	3	6	5	2	6	2	3	407	118	216	93	20	4	111	313	92	46
URS000098B084_10116:rRNA:Rattus_norvegicus	NA	27	43	117	24	52	17	24	52	8	28	2100	372	707	208	77	12	334	736	189	200
URS000099111D_10116:rRNA:Rattus_norvegicus	NA	0	0	2	0	1	0	0	3	3	0	39	5	17	4	1	0	8	28	7	5
URS00009958A8_10116:rRNA:Rattus_norvegicus	NA	27	30	80	21	36	17	14	35	104	14	1636	505	1189	296	51	12	336	1230	330	274
URS0000996F1C_10116:rRNA:Rattus_norvegicus	NA	0	0	2	0	0	0	0	0	1	0	28	5	7	2	1	0	13	28	3	3
URS000099B10D_10116:rRNA:Rattus_norvegicus	NA	7	0	0	0	0	0	0	2	28	0	52	12	31	3	2	0	16	28	10	6
URS00009A56FA_10116:rRNA:Rattus_norvegicus	NA	2	1	8	0	1	0	0	2	6	0	107	8	26	8	2	1	8	31	9	4
URS00009A6DDE_10116:rRNA:Rattus_norvegicus	NA	0	0	5	0	4	0	0	3	2	0	102	12	18	11	3	7	35	42	23	5
URS00009A9134_10116:rRNA:Rattus_norvegicus	NA	1	0	0	1	0	1	1	1	0	5	9	1	10	2	0	0	0	10	0	2
URS00009AB5C8_10116:rRNA:Rattus_norvegicus	NA	1	1	0	0	0	0	0	0	1	0	8	0	0	0	0	0	0	0	0	0
URS00009ABAD4_10116:rRNA:Rattus_norvegicus	NA	0	0	0	0	0	0	0	0	6	0	17	7	9	4	0	0	1	9	4	1
URS00009DF75C_10116:rRNA:Rattus_norvegicus	16S-rRNA	94804	83337	63505	38539	130438	34838	132435	27714	10867	61946	7807	12040	34353	41191	3022	400	17373	7199	18255	26128
URS0000A01149_10116:rRNA:Rattus_norvegicus	12S-rRNA	1064	711	1867	648	1526	622	1875	775	66	715	129	273	488	639	39	13	338	153	152	201
URS0000A2CCB3_10116:rRNA:Rattus_norvegicus	12S-rRNA	1093	780	1819	621	1514	593	1817	731	63	660	124	265	481	598	39	12	327	153	150	200
URS0000A77880_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
URS0000A7C552_10116:rRNA:Rattus_norvegicus	5S-rRNA	3	2	5	7	2	0	3	0	0	3	2	29	42	41	4	2	46	56	11	2
URS0000A7DDD5_10116:rRNA:Rattus_norvegicus	8S-rRNA	1	1	2	1	2	0	5	1	0	0	104	45	99	8	1	0	58	74	8	25
URS0000A83B84_10116:rRNA:Rattus_norvegicus	5S-rRNA	1	0	0	0	0	0	0	0	0	0	0	4	2	2	0	0	3	3	2	0
URS0000A85BB5_10116:rRNA:Rattus_norvegicus	5S-rRNA	14	25	26	20	46	9	10	17	0	19	126	107	232	73	14	12	141	167	22	41
URS0000A87AE8_10116:rRNA:Rattus_norvegicus	5S-rRNA	1	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	3	3	1	1
URS0000A8F16E_10116:rRNA:Rattus_norvegicus	8S-rRNA	19	27	48	13	37	15	21	32	1	20	292	218	439	95	28	9	176	277	64	60
URS0000A9646C_10116:rRNA:Rattus_norvegicus	5S-rRNA	4	0	2	2	2	4	2	0	10	0	1	41	38	17	0	0	33	66	2	0
URS0000A9702A_10116:rRNA:Rattus_norvegicus	5S-rRNA	2	2	1	1	1	0	0	1	0	0	0	7	7	5	0	0	4	8	1	2
URS0000A9CE04_10116:rRNA:Rattus_norvegicus	5S-rRNA	3	6	0	0	2	0	0	0	0	0	0	3	2	2	0	0	2	2	0	0
URS0000AA585F_10116:rRNA:Rattus_norvegicus	5S-rRNA	29	46	149	38	108	45	18	41	2	38	724	435	995	276	72	25	413	949	275	176
URS0000AA8500_10116:rRNA:Rattus_norvegicus	8S-rRNA	3	6	6	3	2	3	2	1	0	1	19	27	37	13	2	0	16	34	13	7
URS0000AA96E9_10116:rRNA:Rattus_norvegicus	5S-rRNA	2	4	4	0	2	0	4	5	0	2	48	28	38	26	0	0	14	44	5	14
URS0000AAC4EF_10116:rRNA:Rattus_norvegicus	5S-rRNA	2	0	4	3	2	0	8	0	0	0	13	8	28	7	0	0	5	30	6	3
URS0000AAD5EB_10116:rRNA:Rattus_norvegicus	5S-rRNA	5	0	2	5	8	2	3	10	0	4	69	25	65	12	20	0	33	39	29	13
URS0000AB0618_10116:rRNA:Rattus_norvegicus	5S-rRNA	2	0	0	0	0	0	0	0	0	0	0	5	0	2	0	0	3	2	0	0
URS0000C0A8F1_10116:rRNA:Rattus_norvegicus	NA	43	38	132	23	57	20	33	70	61	43	2938	779	1600	492	127	23	783	1369	417	435
URS0000C11264_10116:rRNA:Rattus_norvegicus	NA	66	42	103	26	89	59	61	126	15	37	1697	428	1035	210	167	23	409	1111	254	274
URS0000C2BBCE_10116:rRNA:Rattus_norvegicus	NA	1	1	15	0	4	1	4	1	1	3	128	12	41	21	1	2	14	30	17	5
URS0000C2DE96_10116:rRNA:Rattus_norvegicus	NA	55	54	171	40	76	32	31	118	28	40	2715	812	1872	515	125	27	666	1952	591	394
URS0000C36AD3_10116:rRNA:Rattus_norvegicus	NA	21	0	0	0	0	0	0	0	58	2	0	2	0	2	0	0	0	0	3	0
URS0000C3C9A2_10116:rRNA:Rattus_norvegicus	NA	1	0	0	0	0	0	0	0	3	0	2	4	7	2	1	0	2	16	4	3
URS0000C40E67_10116:rRNA:Rattus_norvegicus	NA	3	0	9	1	2	0	0	2	1	1	75	8	25	10	3	1	11	18	9	3
URS0000C4AE5E_10116:rRNA:Rattus_norvegicus	NA	1	0	1	1	0	1	1	1	0	5	9	1	10	2	0	0	0	10	0	2
URS0000C4B054_10116:rRNA:Rattus_norvegicus	NA	49	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0
URS0000C5882C_10116:rRNA:Rattus_norvegicus	NA	83	25	95	28	60	33	103	126	14	39	1818	597	1334	400	138	27	498	1688	461	352
URS0000C7E96E_10116:rRNA:Rattus_norvegicus	NA	1	1	2	0	0	0	0	3	1	1	49	5	11	2	0	0	8	13	1	5
URS0000C856B8_10116:rRNA:Rattus_norvegicus	NA	33	48	98	30	39	22	9	38	447	25	1069	170	373	121	25	10	130	344	91	47
URS0000CCF2F4_10116:rRNA:Rattus_norvegicus	NA	3	1	4	0	0	0	0	7	0	0	0	2	0	1	0	0	0	0	4	0
URS0000CCF48A_10116:rRNA:Rattus_norvegicus	28S-rRNA	10100	5779	18421	4764	15301	7492	14214	24253	4357	7431	648295	213038	476875	75103	71005	6489	198582	466637	94298	126134
URS0000CCF7C7_10116:rRNA:Rattus_norvegicus	NA	14486	7971	24775	6961	22423	12251	22929	33664	5942	10641	795039	321032	658950	99573	90071	8621	288746	600151	121993	203085
URS0000CCFE84_10116:rRNA:Rattus_norvegicus	NA	2	0	0	0	1	1	4	0	0	0	2	0	2	2	0	0	0	0	0	0
URS0000DD1D09_10116:rRNA:Rattus_norvegicus	NA	160	141	311	115	254	82	251	128	10	157	15	28	36	87	2	2	36	16	27	24
URS0000DD845D_10116:rRNA:Rattus_norvegicus	16S-rRNA	48	63	83	33	52	21	101	13	0	25	0	9	17	35	0	0	15	3	17	14
URS0000E15298_10116:rRNA:Rattus_norvegicus	16S-rRNA	7	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS00019F9DE3_10116:rRNA:Rattus_norvegicus	16S-rRNA	2	1	5	1	1	2	1	1	0	1	0	0	0	1	0	0	0	0	1	0
URS0001AE1A02_10116:rRNA:Rattus_norvegicus	NA	1	2	0	0	0	0	0	0	3	0	36	4	6	2	0	0	1	9	4	3
URS0001B0949E_10116:rRNA:Rattus_norvegicus	NA	9	0	6	2	1	1	4	14	0	2	157	394	528	715	35	25	503	1279	194	47
URS0001B16616_10116:rRNA:Rattus_norvegicus	NA	1	0	0	0	0	0	0	0	1	0	13	27	26	23	0	2	15	54	16	9
URS0001B4B318_10116:rRNA:Rattus_norvegicus	NA	14	54	143	1	80	17	8	216	99	5	2643	2083	4766	902	2349	31	1360	8965	555	1059
URS0001BCA414_10116:rRNA:Rattus_norvegicus	NA	758	640	1292	375	1004	621	1394	1039	292	582	32512	14820	33586	7702	2263	437	14432	30657	9682	11481
URS0001BCA45B_10116:rRNA:Rattus_norvegicus	NA	315	274	481	170	400	118	452	151	11	202	22	44	75	122	3	2	64	29	40	37
URS0001BCA572_10116:rRNA:Rattus_norvegicus	NA	1242	1662	1907	1227	1943	924	1536	1267	118	903	6719	12203	18736	5253	964	317	8955	19980	3528	4213
URS0002123178_10116:rRNA:Rattus_norvegicus	28S-rRNA	11428	6801	20943	5442	17855	8390	16123	28531	4804	8291	784226	259707	571460	87537	85015	7349	233900	551566	106803	147892
URS0002130150_10116:rRNA:Rattus_norvegicus	NA	5374	3673	12662	2932	9397	3755	6946	15262	2955	4067	483644	160445	350389	56387	46424	3921	140588	356501	64062	81002
URS000223C24D_10116:rRNA:Rattus_norvegicus	16S-rRNA	17042	11485	26469	10819	23934	11146	34628	7424	951	11183	2179	5776	9832	12590	730	169	7043	3671	2815	4390
URS0002278BC8_10116:rRNA:Rattus_norvegicus	NA	263	316	603	193	494	185	554	122	11	234	41	79	136	213	7	4	86	51	45	43
URS0002287507_10116:rRNA:Rattus_norvegicus	NA	263	316	603	193	493	185	554	122	11	234	41	79	136	213	7	4	77	51	45	43
URS000228796A_10116:rRNA:Rattus_norvegicus	NA	263	316	603	193	493	185	554	122	11	234	41	79	136	213	7	4	77	51	45	43
URS000228A1BB_10116:rRNA:Rattus_norvegicus	NA	267	316	608	193	493	185	554	122	11	234	41	79	136	213	7	4	77	51	45	43
URS00022925B6_10116:rRNA:Rattus_norvegicus	NA	268	316	604	196	494	187	555	122	11	234	41	79	136	213	7	4	77	51	45	43
URS0002294733_10116:rRNA:Rattus_norvegicus	NA	263	316	603	193	493	185	554	122	11	234	41	79	136	213	7	4	77	51	45	43
URS0002297ABB_10116:rRNA:Rattus_norvegicus	NA	263	316	603	193	493	185	554	122	11	234	41	79	136	213	7	4	77	51	45	43
URS00022994C8_10116:rRNA:Rattus_norvegicus	NA	263	316	603	193	493	185	554	122	11	234	41	79	136	213	7	4	77	51	45	43
URS00022A17B0_10116:rRNA:Rattus_norvegicus	NA	263	316	603	193	493	185	554	122	11	234	41	79	136	213	7	4	77	51	45	43
URS00002C8A7A_10116:rRNA:Rattus_norvegicus	NA	0	2	2	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0
URS0000624052_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	2	1	0	0	0	1	0	0	0	2	1	2	0	0	0	0	2	2	2
URS0000624D2F_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	1	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	3	0	0
URS00006807E5_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	2	0	0	0	0	0	0	0	0	62	12	44	0	0	0	4	18	7	32
URS0000681A1A_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	1	0	0	0	0	7	0	0	2	4	2	20	10	0	0	8	18	10	1
URS000068F315_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	3	5	0	2	6	0	6	0	5	58	33	91	7	7	0	30	81	4	22
URS000069430C_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	2	0	0	2	0	0	0	0	0	2	11	1	2	0	0	0	18	0	0
URS00006E151D_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0
URS00006F66E4_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	2	0	0	0	0	0	0	0	0	7	11	6	0	0	0	0	37	4	2
URS000071A993_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	8	3	2	3	5	4	0	0	5	67	55	50	25	0	0	24	116	21	35
URS0000904CD8_10116:rRNA:Rattus_norvegicus	NA	0	1	5	0	3	2	0	3	0	0	145	26	64	3	3	0	7	92	0	20
URS0000926ECF_10116:rRNA:Rattus_norvegicus	NA	0	0	1	0	0	0	0	0	69	0	5	0	1	1	0	0	0	1	1	0
URS0000999CE1_10116:rRNA:Rattus_norvegicus	NA	0	1	0	0	0	0	0	2	0	0	12	5	12	7	0	0	5	16	2	0
URS0000A7EBD1_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1
URS0000A801E0_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	1	0	0	0	0	0	0	0	0	4	2	4	0	0	0	0	3	0	0
URS0000A8FEE8_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	2	1	0	0	0	1	0	0	0	2	3	6	0	0	0	0	2	2	2
URS0000A91AD7_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	2	4	0	2	3	4	6	2	0	58	52	38	16	6	0	16	52	10	21
URS0000AA3C3F_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	2	0	0	0	0	0	0	0	0	4	10	7	2	0	0	2	25	0	0
URS0000AACD61_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	2	0	0	1	0	0	0	0	0	4	7	8	6	0	0	4	23	8	8
URS0000C19245_10116:rRNA:Rattus_norvegicus	NA	0	1	8	0	1	1	0	1	2	0	92	5	21	11	1	1	5	17	10	2
URS000063428F_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	3	1	0	0	0	0	0	0	2	11	76	6	0	0	10	9	2	7
URS000063F0BB_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	2	2	3	0	2	2	0	0	0	24	25	5	4	0	13	50	7	0
URS000066171A_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000067CBAA_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
URS000070E4C0_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	2	1	0	0
URS0000944818_10116:rRNA:Rattus_norvegicus	NA	0	0	4	0	0	1	0	1	0	0	78	4	16	10	1	1	6	12	6	1
URS000097C230_10116:rRNA:Rattus_norvegicus	NA	0	0	0	0	0	0	0	0	0	0	13	5	17	11	0	0	6	12	5	5
URS00009A3A4F_10116:rRNA:Rattus_norvegicus	NA	0	0	1	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0
URS0000A8379E_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
URS0000A8FF34_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000A91A3E_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
URS0000A95F18_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000A9F2FE_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000C5C73F_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	1	0	1	0	0	2	0	2	29	19	23	4	1	0	7	19	6	5
URS0000624939_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	1	0	0	0	0	0	0	0	1	6	2	0	0	1	2	1	0
URS000062A825_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000653B83_10116:rRNA:Rattus_norvegicus	8S-rRNA	0	0	1	0	1	1	0	1	0	1	16	3	17	2	1	0	7	7	4	1
URS000065DC7C_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	3	6	1	0	0	0	0	1	1	0
URS0000678EB8_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	2	0	0	0	0	0	0	8	8	0	0	0	0	2	0	0
URS0000681B77_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	2	2	2	0	0	0	0	3	1	25	22	0	4	0	4	34	2	8
URS0000696584_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
URS000069BC95_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
URS000069D1DB_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	3	0	0	0
URS00006AD00B_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	9	2	3	0	0	2	0	0	0
URS00006B6765_10116:rRNA:Rattus_norvegicus	8S-rRNA	0	0	0	0	1	0	0	0	0	0	3	0	2	1	0	0	1	4	0	0
URS00006BD4AB_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	2	0	0	4	4	2	0	0	0	2	9	0	5
URS00006C256D_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
URS00006E1346_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
URS00006ED305_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	2	0	0	0	0	0	0	0	2	0	4	0	0	0	0	7	3	0
URS0000706CA2_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	7	0	0	0	2	0	0	0	0	21	22	0	2	0	4	21	0	2
URS000070C9A9_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	7	7	0	1
URS0000715956_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	2	36	0	2	0	0	0	0	0	1	8	1	0
URS000071E304_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	4	7	0
URS0000925652_10116:rRNA:Rattus_norvegicus	NA	0	0	1	0	0	0	0	0	0	0	7	1	8	1	0	0	0	10	0	1
URS0000945F96_10116:rRNA:Rattus_norvegicus	NA	0	0	1	0	0	0	0	0	0	0	8	1	8	1	0	0	0	10	0	1
URS000096AFD3_10116:rRNA:Rattus_norvegicus	NA	0	0	0	0	0	0	0	0	0	0	5	1	8	1	0	0	0	10	0	1
URS000096F134_10116:rRNA:Rattus_norvegicus	NA	0	0	0	0	0	0	0	0	0	0	5	1	6	1	0	0	0	9	0	1
URS000098E2E1_10116:rRNA:Rattus_norvegicus	NA	0	0	5	0	2	0	0	0	0	0	28	5	4	2	0	0	1	5	0	0
URS0000A84965_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
URS0000A88543_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	1	2	4	1	0	0	7	7	0	1
URS0000A8E573_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000A914DF_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	3	0	0	0	0	0	0	0	0	2	2	0	0	0	2	2	0	2
URS0000A982BA_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
URS0000A9D5F4_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000AA58C4_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	2	0	0	0	0	0	0	0	3	0	3	0	3	0	0	0	0	0
URS0000AA9C46_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	1	0	0	0	0	2	0	0	0	9	14	0	0	0	5	10	2	3
URS0000AABD2B_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000AAD956_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	1	0	0	0	0	0	0	0	1	6	2	0	0	1	2	1	0
URS0000BA7C32_10116:rRNA:Rattus_norvegicus	12S-rRNA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000C71B19_10116:rRNA:Rattus_norvegicus	NA	0	0	0	0	0	0	0	0	0	0	6	1	8	1	0	0	0	10	0	1
URS0000627DC5_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	2	0
URS0000643BB9_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0
