Sequence	Annotation	Library_01	Library_02	Library_09	Library_10	Library_17	Library_18	Library_25	Library_26	Library_33	Library_34	Library_05	Library_06	Library_13	Library_14	Library_21	Library_22	Library_29	Library_30	Library_38
URS00008D160B_10116:rRNA:Rattus_norvegicus	NA	2	1	5	0	3	3	0	4	10	0	7	8	1	43	5	227	56	10	143
URS00008D1DEC_10116:rRNA:Rattus_norvegicus	NA	439	530	902	245	670	248	620	880	221	321	7562	1032	299	16082	3752	25569	7000	2133	33324
URS00008D1F6F_10116:rRNA:Rattus_norvegicus	NA	2	0	2	0	0	0	0	1	0	0	1	1	0	6	2	36	11	1	14
URS000090178B_10116:rRNA:Rattus_norvegicus	NA	1	0	0	0	0	0	0	0	2	0	5	0	0	10	4	2	5	2	5
URS0000902D09_10116:rRNA:Rattus_norvegicus	NA	54	77	128	36	93	46	26	41	4	29	302	56	22	413	255	933	377	147	491
URS0000909F75_10116:rRNA:Rattus_norvegicus	NA	0	0	0	0	0	0	0	0	0	0	49	3	0	54	9	68	18	3	140
URS000091179F_10116:rRNA:Rattus_norvegicus	NA	7098	5139	11749	3716	8236	3496	9175	3220	349	4014	2231	1999	4921	2130	6187	2849	7753	5697	690
URS0000914659_10116:rRNA:Rattus_norvegicus	NA	1	1	0	0	0	2	0	0	4	1	2	0	0	0	0	4	2	0	11
URS0000914707_10116:rRNA:Rattus_norvegicus	NA	6	3	3	3	2	4	0	2	0	0	1	0	0	8	4	24	7	2	11
URS00009173F1_10116:rRNA:Rattus_norvegicus	NA	5	8	8	1	2	2	1	7	3	0	98	2	1	449	33	520	79	22	762
URS0000919F5B_10116:rRNA:Rattus_norvegicus	NA	0	1	5	0	3	2	0	3	0	0	10	7	0	65	4	203	51	10	121
URS000091AE79_10116:rRNA:Rattus_norvegicus	NA	7	9	13	4	11	4	2	9	3	2	44	5	3	63	56	143	66	30	172
URS0000922651_10116:rRNA:Rattus_norvegicus	NA	2	2	5	2	2	1	2	7	4	2	32	2	3	59	13	149	137	7	63
URS000092A4E6_10116:rRNA:Rattus_norvegicus	NA	11	8	45	4	7	5	5	6	46	11	136	3	2	321	50	745	158	54	257
URS000092AD7A_10116:rRNA:Rattus_norvegicus	NA	2	0	2	0	0	0	0	0	0	0	9	0	0	10	2	28	6	1	25
URS00009365D8_10116:rRNA:Rattus_norvegicus	NA	1	2	0	1	4	1	0	0	0	2	1	0	0	2	0	6	5	0	1
URS0000937011_10116:rRNA:Rattus_norvegicus	NA	34	15	56	20	27	22	22	22	3	17	208	8	12	418	124	1195	234	98	664
URS000093AA4A_10116:rRNA:Rattus_norvegicus	NA	2	2	23	6	0	0	7	16	7	32	58	0	2	38	23	129	16	2	59
URS000093B363_10116:rRNA:Rattus_norvegicus	18S-rRNA	758	640	1292	375	1004	621	1394	1039	292	582	8853	1212	896	18648	5070	34115	9410	3055	41971
URS000093DFDB_10116:rRNA:Rattus_norvegicus	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000093E0CA_10116:rRNA:Rattus_norvegicus	NA	57	52	192	31	83	29	52	136	75	61	529	299	27	1319	433	4005	926	230	3314
URS0000943CF9_10116:rRNA:Rattus_norvegicus	NA	13	8	59	6	15	5	1	20	69	5	41	41	4	106	46	1061	122	26	1408
URS0000946A4E_10116:rRNA:Rattus_norvegicus	NA	1077	2266	2156	793	7429	2197	2293	709	177	733	371	812	2836	744	1585	619	3778	2318	135
URS000094A2F1_10116:rRNA:Rattus_norvegicus	5S-rRNA	65	151	115	74	72	41	16	27	3	45	412	20	33	508	499	928	615	412	770
URS000094BA1E_10116:rRNA:Rattus_norvegicus	NA	4	4	7	3	5	2	1	5	2	2	27	1	2	39	36	86	40	22	66
URS000094D92F_10116:rRNA:Rattus_norvegicus	NA	3	1	4	3	1	0	1	0	15	3	9	3	0	13	6	108	12	4	39
URS0000950074_10116:rRNA:Rattus_norvegicus	NA	0	0	14	1	4	1	11	4	1	2	6	12	2	25	9	212	25	8	55
URS00009545B3_10116:rRNA:Rattus_norvegicus	NA	7	11	68	7	12	5	8	36	11	14	140	30	2	132	96	1063	176	31	227
URS0000959A92_10116:rRNA:Rattus_norvegicus	8S-rRNA	0	0	5	0	1	1	0	2	0	1	7	2	0	10	10	55	13	8	75
URS0000959E4B_10116:rRNA:Rattus_norvegicus	NA	13	11	60	8	14	5	3	10	87	13	47	9	2	123	54	670	151	25	88
URS000095E0F7_10116:rRNA:Rattus_norvegicus	NA	4	12	11	2	6	1	3	6	5	5	119	2	0	166	90	919	148	42	386
URS0000960338_10116:rRNA:Rattus_norvegicus	NA	9	0	6	1	2	1	5	15	1	4	562	1	1	1394	161	390	403	18	566
URS0000968617_10116:rRNA:Rattus_norvegicus	NA	5	7	76	6	16	18	2	14	0	12	78	108	3	369	71	1290	384	60	478
URS000096C621_10116:rRNA:Rattus_norvegicus	NA	10	0	6	1	3	1	4	14	3	2	562	3	1	1377	161	446	400	18	548
URS0000970FEF_10116:rRNA:Rattus_norvegicus	NA	2	2	3	0	1	0	0	0	1	0	2	0	0	5	5	85	6	1	1
URS00009713B6_10116:rRNA:Rattus_norvegicus	NA	0	0	15	1	1	0	0	1	2	3	3	2	0	16	2	166	18	2	1
URS0000971876_10116:rRNA:Rattus_norvegicus	NA	8	8	73	9	20	13	4	24	1	9	108	62	3	257	93	1161	233	52	575
URS00009718EB_10116:rRNA:Rattus_norvegicus	NA	39	69	319	57	106	42	42	113	14	89	650	134	33	1475	487	5972	1259	237	2485
URS0000972191_10116:rRNA:Rattus_norvegicus	NA	3	3	10	1	1	1	1	2	0	2	14	0	1	35	25	88	28	9	38
URS000097262E_10116:rRNA:Rattus_norvegicus	NA	0	0	1	0	0	0	0	0	0	0	1	0	0	10	1	14	4	1	3
URS000097B3AD_10116:rRNA:Rattus_norvegicus	NA	80	19	65	20	53	29	123	145	15	39	393	138	20	696	727	2476	802	189	2984
URS000097CE27_10116:rRNA:Rattus_norvegicus	NA	15	15	98	12	19	8	4	19	19	18	114	25	2	319	130	1476	310	60	286
URS0000986811_10116:rRNA:Rattus_norvegicus	NA	4	5	26	3	6	5	2	6	2	3	97	4	2	149	54	355	96	23	292
URS000098B084_10116:rRNA:Rattus_norvegicus	NA	27	43	117	24	52	17	24	52	8	28	250	80	9	434	258	1695	418	103	1881
URS000099111D_10116:rRNA:Rattus_norvegicus	NA	0	0	2	0	1	0	0	3	3	0	6	0	0	15	5	37	7	2	31
URS00009958A8_10116:rRNA:Rattus_norvegicus	NA	27	30	80	21	36	17	14	35	104	14	381	36	15	568	473	2002	683	193	1266
URS0000996F1C_10116:rRNA:Rattus_norvegicus	NA	0	0	2	0	0	0	0	0	1	0	4	5	0	9	0	42	13	1	22
URS000099B10D_10116:rRNA:Rattus_norvegicus	NA	7	0	0	0	0	0	0	2	28	0	4	8	0	21	6	67	11	8	23
URS00009A56FA_10116:rRNA:Rattus_norvegicus	NA	2	1	8	0	1	0	0	2	6	0	8	1	0	24	9	186	20	3	22
URS00009A6DDE_10116:rRNA:Rattus_norvegicus	NA	0	0	5	0	4	0	0	3	2	0	38	5	0	28	7	163	26	5	78
URS00009A9134_10116:rRNA:Rattus_norvegicus	NA	1	0	0	1	0	1	1	1	0	5	1	0	0	2	1	4	7	0	1
URS00009AB5C8_10116:rRNA:Rattus_norvegicus	NA	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10
URS00009ABAD4_10116:rRNA:Rattus_norvegicus	NA	0	0	0	0	0	0	0	0	6	0	17	0	0	4	7	14	4	3	12
URS00009DF75C_10116:rRNA:Rattus_norvegicus	16S-rRNA	94804	83337	63505	38539	130438	34838	132435	27714	10867	61946	29304	107306	118001	18272	49985	16122	72094	79407	23565
URS0000A01149_10116:rRNA:Rattus_norvegicus	12S-rRNA	1064	711	1867	648	1526	622	1875	775	66	715	353	664	851	322	940	422	1210	754	132
URS0000A2CCB3_10116:rRNA:Rattus_norvegicus	12S-rRNA	1093	780	1819	621	1514	593	1817	731	63	660	345	646	825	307	949	384	1164	715	129
URS0000A77880_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
URS0000A7C552_10116:rRNA:Rattus_norvegicus	5S-rRNA	3	2	5	7	2	0	3	0	0	3	42	0	4	87	49	53	45	13	25
URS0000A7DDD5_10116:rRNA:Rattus_norvegicus	8S-rRNA	1	1	2	1	2	0	5	1	0	0	9	2	0	17	4	123	15	2	365
URS0000A83B84_10116:rRNA:Rattus_norvegicus	5S-rRNA	1	0	0	0	0	0	0	0	0	0	2	0	0	7	4	9	7	1	4
URS0000A85BB5_10116:rRNA:Rattus_norvegicus	5S-rRNA	14	25	26	20	46	9	10	17	0	19	90	9	9	121	118	623	157	82	378
URS0000A87AE8_10116:rRNA:Rattus_norvegicus	5S-rRNA	1	0	0	0	0	0	0	0	0	0	1	0	0	0	4	1	1	1	3
URS0000A8F16E_10116:rRNA:Rattus_norvegicus	8S-rRNA	19	27	48	13	37	15	21	32	1	20	134	39	12	215	211	680	308	98	409
URS0000A9646C_10116:rRNA:Rattus_norvegicus	5S-rRNA	4	0	2	2	2	4	2	0	10	0	26	0	0	32	29	63	54	15	13
URS0000A9702A_10116:rRNA:Rattus_norvegicus	5S-rRNA	2	2	1	1	1	0	0	1	0	0	6	0	0	10	10	2	9	5	12
URS0000A9CE04_10116:rRNA:Rattus_norvegicus	5S-rRNA	3	6	0	0	2	0	0	0	0	0	2	0	0	2	3	1	6	0	0
URS0000AA585F_10116:rRNA:Rattus_norvegicus	5S-rRNA	29	46	149	38	108	45	18	41	2	38	458	37	17	581	435	1945	660	267	1027
URS0000AA8500_10116:rRNA:Rattus_norvegicus	8S-rRNA	3	6	6	3	2	3	2	1	0	1	22	2	2	24	28	36	37	19	32
URS0000AA96E9_10116:rRNA:Rattus_norvegicus	5S-rRNA	2	4	4	0	2	0	4	5	0	2	2	5	2	25	6	25	23	2	84
URS0000AAC4EF_10116:rRNA:Rattus_norvegicus	5S-rRNA	2	0	4	3	2	0	8	0	0	0	7	0	3	9	8	22	24	11	17
URS0000AAD5EB_10116:rRNA:Rattus_norvegicus	5S-rRNA	5	0	2	5	8	2	3	10	0	4	10	12	3	33	15	47	22	16	195
URS0000AB0618_10116:rRNA:Rattus_norvegicus	5S-rRNA	2	0	0	0	0	0	0	0	0	0	15	0	0	6	0	9	2	0	6
URS0000C0A8F1_10116:rRNA:Rattus_norvegicus	NA	43	38	132	23	57	20	33	70	61	43	421	97	21	1050	278	2926	631	164	2124
URS0000C11264_10116:rRNA:Rattus_norvegicus	NA	66	42	103	26	89	59	61	126	15	37	241	162	34	536	833	2156	910	236	2374
URS0000C2BBCE_10116:rRNA:Rattus_norvegicus	NA	1	1	15	0	4	1	4	1	1	3	22	2	5	41	7	255	29	4	22
URS0000C2DE96_10116:rRNA:Rattus_norvegicus	NA	55	54	171	40	76	32	31	118	28	40	679	170	25	1046	773	3721	1269	327	2305
URS0000C36AD3_10116:rRNA:Rattus_norvegicus	NA	21	0	0	0	0	0	0	0	58	2	0	0	0	7	0	1	6	0	13
URS0000C3C9A2_10116:rRNA:Rattus_norvegicus	NA	1	0	0	0	0	0	0	0	3	0	5	0	0	5	0	13	6	1	25
URS0000C40E67_10116:rRNA:Rattus_norvegicus	NA	3	0	9	1	2	0	0	2	1	1	11	4	0	20	10	136	17	3	35
URS0000C4AE5E_10116:rRNA:Rattus_norvegicus	NA	1	0	1	1	0	1	1	1	0	5	1	0	0	2	1	2	8	0	1
URS0000C4B054_10116:rRNA:Rattus_norvegicus	NA	49	0	0	0	0	0	0	0	90	0	0	0	0	3	0	2	0	0	2
URS0000C5882C_10116:rRNA:Rattus_norvegicus	NA	83	25	95	28	60	33	103	126	14	39	499	90	23	776	848	2110	981	248	2605
URS0000C7E96E_10116:rRNA:Rattus_norvegicus	NA	1	1	2	0	0	0	0	3	1	1	2	0	0	10	0	75	16	2	6
URS0000C856B8_10116:rRNA:Rattus_norvegicus	NA	33	48	98	30	39	22	9	38	447	25	147	31	6	278	141	1752	330	72	718
URS0000CCF2F4_10116:rRNA:Rattus_norvegicus	NA	3	1	4	0	0	0	0	7	0	0	0	1	0	0	4	5	0	1	3
URS0000CCF48A_10116:rRNA:Rattus_norvegicus	28S-rRNA	10100	5779	18421	4764	15301	7492	14214	24253	4357	7431	90004	33156	7110	189251	107417	602886	165475	44107	1033013
URS0000CCF7C7_10116:rRNA:Rattus_norvegicus	NA	14486	7971	24775	6961	22423	12251	22929	33664	5942	10641	116639	45672	15045	252475	142405	762391	226846	59237	1592767
URS0000CCFE84_10116:rRNA:Rattus_norvegicus	NA	2	0	0	0	1	1	4	0	0	0	5	0	0	0	2	0	0	0	4
URS0000DD1D09_10116:rRNA:Rattus_norvegicus	NA	160	141	311	115	254	82	251	128	10	157	45	26	125	47	128	46	209	95	8
URS0000DD845D_10116:rRNA:Rattus_norvegicus	16S-rRNA	48	63	83	33	52	21	101	13	0	25	20	5	44	17	97	7	64	43	0
URS0000E15298_10116:rRNA:Rattus_norvegicus	16S-rRNA	7	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0
URS00019F9DE3_10116:rRNA:Rattus_norvegicus	16S-rRNA	2	1	5	1	1	2	1	1	0	1	0	0	1	1	1	1	1	1	0
URS0001AE1A02_10116:rRNA:Rattus_norvegicus	NA	1	2	0	0	0	0	0	0	3	0	3	2	0	6	3	72	1	2	17
URS0001B0949E_10116:rRNA:Rattus_norvegicus	NA	9	0	6	2	1	1	4	14	0	2	557	1	1	1375	160	352	391	17	523
URS0001B16616_10116:rRNA:Rattus_norvegicus	NA	1	0	0	0	0	0	0	0	1	0	16	0	0	47	9	21	16	4	47
URS0001B4B318_10116:rRNA:Rattus_norvegicus	NA	14	54	143	1	80	17	8	216	99	5	783	160	20	4846	397	2463	1916	1353	5088
URS0001BCA414_10116:rRNA:Rattus_norvegicus	NA	758	640	1292	375	1004	621	1394	1039	292	582	8853	1212	896	18648	5070	34115	9410	3055	41971
URS0001BCA45B_10116:rRNA:Rattus_norvegicus	NA	315	274	481	170	400	118	452	151	11	202	76	28	187	67	236	74	292	148	9
URS0001BCA572_10116:rRNA:Rattus_norvegicus	NA	1242	1662	1907	1227	1943	924	1536	1267	118	903	8655	918	908	12136	8641	22184	16409	6060	19643
URS0002123178_10116:rRNA:Rattus_norvegicus	28S-rRNA	11428	6801	20943	5442	17855	8390	16123	28531	4804	8291	108412	41209	8526	221770	145142	702509	213562	52893	1264517
URS0002130150_10116:rRNA:Rattus_norvegicus	NA	5374	3673	12662	2932	9397	3755	6946	15262	2955	4067	68961	25491	4349	142159	93287	457379	138289	31882	773588
URS000223C24D_10116:rRNA:Rattus_norvegicus	16S-rRNA	17042	11485	26469	10819	23934	11146	34628	7424	951	11183	7166	5455	19997	7345	20926	6535	21800	15830	2291
URS0002278BC8_10116:rRNA:Rattus_norvegicus	NA	263	316	603	193	494	185	554	122	11	234	125	22	252	119	374	165	417	255	8
URS0002287507_10116:rRNA:Rattus_norvegicus	NA	263	316	603	193	493	185	554	122	11	234	125	24	252	119	374	165	417	255	8
URS000228796A_10116:rRNA:Rattus_norvegicus	NA	263	316	603	193	493	185	554	122	11	234	125	22	252	119	374	165	417	255	8
URS000228A1BB_10116:rRNA:Rattus_norvegicus	NA	267	316	608	193	493	185	554	122	11	234	125	24	252	119	374	165	417	255	8
URS00022925B6_10116:rRNA:Rattus_norvegicus	NA	268	316	604	196	494	187	555	122	11	234	125	22	252	119	374	167	417	257	8
URS0002294733_10116:rRNA:Rattus_norvegicus	NA	263	316	603	193	493	185	554	122	11	234	125	22	252	119	374	165	417	255	8
URS0002297ABB_10116:rRNA:Rattus_norvegicus	NA	263	316	603	193	493	185	554	122	11	234	125	22	252	119	374	165	417	255	8
URS00022994C8_10116:rRNA:Rattus_norvegicus	NA	263	316	603	193	493	185	554	122	11	234	125	22	252	119	374	165	417	255	8
URS00022A17B0_10116:rRNA:Rattus_norvegicus	NA	263	316	603	193	493	185	554	122	11	234	125	22	252	119	374	165	417	255	8
URS00002C8A7A_10116:rRNA:Rattus_norvegicus	NA	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000624052_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	2	1	0	0	0	1	0	0	0	1	0	0	1	2	5	1	1	2
URS0000624D2F_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
URS00006807E5_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	2	0	0	0	0	0	0	0	0	6	0	0	37	9	14	26	4	31
URS0000681A1A_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	1	0	0	0	0	7	0	0	2	27	0	0	13	13	15	50	8	6
URS000068F315_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	3	5	0	2	6	0	6	0	5	23	10	8	20	9	55	64	19	143
URS000069430C_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	2	0	0	2	0	0	0	0	0	0	0	0	10	0	11	4	0	4
URS00006E151D_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	3	1	0	1
URS00006F66E4_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	2	0	0	0	0	0	0	0	0	2	0	4	23	8	10	7	0	42
URS000071A993_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	8	3	2	3	5	4	0	0	5	18	0	6	179	84	77	163	68	21
URS0000904CD8_10116:rRNA:Rattus_norvegicus	NA	0	1	5	0	3	2	0	3	0	0	0	7	1	32	1	187	52	10	116
URS0000926ECF_10116:rRNA:Rattus_norvegicus	NA	0	0	1	0	0	0	0	0	69	0	0	0	0	1	1	6	1	0	1
URS0000999CE1_10116:rRNA:Rattus_norvegicus	NA	0	1	0	0	0	0	0	2	0	0	2	0	0	9	3	1	0	0	8
URS0000A7EBD1_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	4
URS0000A801E0_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	1	0	0	0	0	0	0	0	0	0	0	0	2	4	4	1	2	17
URS0000A8FEE8_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	2	1	0	0	0	1	0	0	0	1	0	0	1	2	5	1	1	4
URS0000A91AD7_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	2	4	0	2	3	4	6	2	0	15	13	7	41	19	33	29	6	121
URS0000AA3C3F_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	2	0	0	0	0	0	0	0	0	2	0	2	0	3	17	9	6	4
URS0000AACD61_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	2	0	0	1	0	0	0	0	0	3	0	0	39	16	11	22	9	7
URS0000C19245_10116:rRNA:Rattus_norvegicus	NA	0	1	8	0	1	1	0	1	2	0	8	1	0	35	8	182	30	3	13
URS000063428F_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	3	1	0	0	0	0	0	0	6	0	9	5	2	10	10	7	32
URS000063F0BB_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	2	2	3	0	2	2	0	0	15	0	7	19	26	11	15	12	39
URS000066171A_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS000067CBAA_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0
URS000070E4C0_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	1	0	0	3	2	5	1	1	1
URS0000944818_10116:rRNA:Rattus_norvegicus	NA	0	0	4	0	0	1	0	1	0	0	8	0	0	12	4	80	12	2	7
URS000097C230_10116:rRNA:Rattus_norvegicus	NA	0	0	0	0	0	0	0	0	0	0	7	0	0	38	2	9	5	0	2
URS00009A3A4F_10116:rRNA:Rattus_norvegicus	NA	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
URS0000A8379E_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000A8FF34_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000A91A3E_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000A95F18_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000A9F2FE_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000C5C73F_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	1	0	1	0	0	2	0	2	4	5	2	9	9	10	21	3	74
URS0000624939_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	1	0	0	0	0	0	0	4	0	0	3	2	2	4	1	1
URS000062A825_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000653B83_10116:rRNA:Rattus_norvegicus	8S-rRNA	0	0	1	0	1	1	0	1	0	1	2	2	0	8	5	38	5	2	27
URS000065DC7C_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	3	8	2	13
URS0000678EB8_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	2	0	0	0	0	0	0	0	0	7	2	6	11	0	0
URS0000681B77_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	2	2	2	0	0	0	0	3	7	1	5	33	9	39	33	29	16
URS0000696584_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
URS000069BC95_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1
URS000069D1DB_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	2	0
URS00006AD00B_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	4	0	0	7	4	4	12	2	0
URS00006B6765_10116:rRNA:Rattus_norvegicus	8S-rRNA	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	12	2	0	3
URS00006BD4AB_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	2	2	2	5
URS00006C256D_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
URS00006E1346_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	3	0	0	2	2	0	2	0	4
URS00006ED305_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	2	0	0	0	0	0	0	0	4	0	0	3	9	9	13	5	0
URS0000706CA2_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	7	0	0	0	2	0	0	0	2	0	0	8	15	17	36	7	7
URS000070C9A9_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	5	4	9
URS0000715956_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	2	36	0	1	0	0	4	0	0	3	1	5
URS000071E304_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	1	0	3	0
URS0000925652_10116:rRNA:Rattus_norvegicus	NA	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	3	6	0	1
URS0000945F96_10116:rRNA:Rattus_norvegicus	NA	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	3	6	0	1
URS000096AFD3_10116:rRNA:Rattus_norvegicus	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	5	0	1
URS000096F134_10116:rRNA:Rattus_norvegicus	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	4	0	3
URS000098E2E1_10116:rRNA:Rattus_norvegicus	NA	0	0	5	0	2	0	0	0	0	0	3	1	0	1	3	39	6	1	0
URS0000A84965_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	5	0	2	0
URS0000A88543_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	5	4	12
URS0000A8E573_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000A914DF_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	3	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	5
URS0000A982BA_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1
URS0000A9D5F4_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000AA58C4_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000AA9C46_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	1	0	0	0	0	2	0	0	0	0	0	1	7	13	11	4	2
URS0000AABD2B_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS0000AAD956_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	1	0	0	0	0	0	0	4	0	0	3	2	2	4	1	1
URS0000BA7C32_10116:rRNA:Rattus_norvegicus	12S-rRNA	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0
URS0000C71B19_10116:rRNA:Rattus_norvegicus	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	5	0	1
URS0000627DC5_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
URS0000643BB9_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1
URS0000695688_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	8	0	0	2
URS000069C4F1_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	1	1	1	3
URS00006A00A5_10116:rRNA:Rattus_norvegicus	8S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	6
URS00006A9DC1_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	2	0	0	2	0	0	7	0	2	15	23	10	30	8	44
URS00006B4522_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
URS00006C9565_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	2	0	0	2	3	4	0	3	0
URS00006E1233_10116:rRNA:Rattus_norvegicus	8S-rRNA	0	0	2	0	0	0	0	0	0	0	5	0	0	5	10	6	6	2	13
URS00006E7723_10116:rRNA:Rattus_norvegicus	8S-rRNA	0	0	1	0	0	0	0	1	0	0	1	0	0	3	1	8	1	0	8
