Sequence	Annotation	Library_01	Library_02	Library_09	Library_10	Library_17	Library_18	Library_25	Library_26	Library_33	Library_34	Library_05	Library_06	Library_13	Library_14	Library_21	Library_22	Library_29	Library_30	Library_38
URS000041298D_10116:rRNA:Rattus_norvegicus	16S-rRNA	94112	82153	61673	38464	128427	33498	132299	26984	10803	61773	29284	106781	117410	17945	49605	15978	70176	77972	23137
URS00004213B9_10116:rRNA:Rattus_norvegicus	NA	3641	2303	5279	1814	6063	3366	6219	8645	1280	2886	25175	9308	2884	55192	34228	161985	48767	13888	332111
URS000042A8D3_10116:rRNA:Rattus_norvegicus	16S-rRNA	39516	33165	42607	24393	52684	19254	54710	15126	3344	25138	13875	16146	42869	10821	30111	9126	36392	35058	5163
URS000042DA69_10116:rRNA:Rattus_norvegicus	12S-rRNA	294	270	473	157	396	117	390	147	11	197	73	29	187	67	231	73	289	145	8
URS0000430868_10116:rRNA:Rattus_norvegicus	NA	41680	35271	43007	25109	56188	20522	59819	16186	3610	27041	14655	23471	47475	11287	30737	9543	38861	37208	6108
URS000043C9DC_10116:rRNA:Rattus_norvegicus	NA	13772	9582	22626	7720	19388	8358	29049	6070	768	8435	5338	3349	15233	5464	15307	5646	18554	12398	1575
URS0000446A72_10116:rRNA:Rattus_norvegicus	12S-rRNA	1215	2396	2428	888	7609	2232	2480	825	187	872	394	835	2903	784	1670	653	3949	2393	139
URS000044CAB2_10116:rRNA:Rattus_norvegicus	NA	698	600	1178	348	889	585	1255	905	284	527	8414	1049	825	17710	4697	31079	8671	2834	38823
URS000045493D_10116:rRNA:Rattus_norvegicus	NA	35887	31115	37177	22456	49867	17887	48361	14885	3274	23971	13159	17516	37110	10001	27598	8215	34070	33959	5355
URS00004B2C76_10116:rRNA:Rattus_norvegicus	8S-rRNA	2592	1113	3598	1361	4728	3293	5517	6376	1007	2034	13262	8966	5129	33256	22702	94120	39890	8497	381981
URS000050CFBE_10116:rRNA:Rattus_norvegicus	NA	68712	63803	22358	24560	94068	20548	79314	17314	9502	46987	21254	101813	82262	9546	25167	5988	40575	59808	20829
URS000051C7BA_10116:rRNA:Rattus_norvegicus	NA	351	325	1530	266	704	233	335	1351	463	415	5118	3258	219	9679	3973	45800	8984	2159	35310
URS0000548AD6_10116:rRNA:Rattus_norvegicus	12S-rRNA	1215	2396	2428	888	7609	2232	2480	825	187	872	394	835	2906	784	1670	653	3949	2396	139
URS000055DB75_10116:rRNA:Rattus_norvegicus	18S-rRNA	6	2	12	1	4	4	15	4	1	2	18	2	4	40	15	197	44	15	77
URS0000563E48_10116:rRNA:Rattus_norvegicus	12S-rRNA	1354	2525	2597	930	7751	2267	2616	844	188	914	422	837	2966	805	1773	680	4031	2443	140
URS00005BED90_10116:rRNA:Rattus_norvegicus	12S-rRNA	1201	839	2030	689	1668	657	2012	793	68	756	381	667	914	342	1043	447	1291	802	133
URS00005F96B4_10116:rRNA:Rattus_norvegicus	NA	342	134	416	146	341	370	726	171	68	262	1464	164	421	2828	1416	9083	2437	946	6467
URS0000600634_10116:rRNA:Rattus_norvegicus	NA	2	0	11	0	9	2	0	29	3	10	264	21	2	572	150	1488	269	167	2997
URS0000623A69_10116:rRNA:Rattus_norvegicus	5S-rRNA	1	0	0	0	0	0	0	0	0	0	2	0	1	4	3	11	6	2	18
URS0000623B20_10116:rRNA:Rattus_norvegicus	5S-rRNA	1	1	0	2	0	0	0	2	0	0	2	0	0	6	1	16	3	3	23
URS000062BB09_10116:rRNA:Rattus_norvegicus	5S-rRNA	108	271	193	139	147	79	30	63	5	86	793	34	50	1083	1025	2023	1199	666	1438
URS000062CBFC_10116:rRNA:Rattus_norvegicus	5S-rRNA	10	0	0	0	0	0	0	0	0	0	8	0	0	24	18	3	22	5	35
URS000062CFE8_10116:rRNA:Rattus_norvegicus	5S-rRNA	1	0	1	1	0	0	0	0	0	0	2	0	0	4	4	10	6	2	18
URS0000632A3B_10116:rRNA:Rattus_norvegicus	8S-rRNA	8	12	12	6	11	5	6	4	0	6	62	1	5	81	71	141	102	40	125
URS000063333F_10116:rRNA:Rattus_norvegicus	8S-rRNA	1	4	1	1	1	0	0	6	0	0	14	9	1	29	22	125	20	5	328
URS0000635CDE_10116:rRNA:Rattus_norvegicus	8S-rRNA	1	1	20	2	9	5	0	17	0	5	13	32	0	32	22	373	49	7	77
URS00006361DF_10116:rRNA:Rattus_norvegicus	8S-rRNA	12	17	24	7	16	9	10	19	0	11	96	13	8	138	141	362	187	63	420
URS000063BBCE_10116:rRNA:Rattus_norvegicus	5S-rRNA	5	0	2	1	8	2	1	10	0	4	10	12	3	16	10	38	9	16	190
URS000064027A_10116:rRNA:Rattus_norvegicus	5S-rRNA	221	399	462	244	438	187	233	212	15	176	1924	174	187	2673	2256	6099	3291	1475	4857
URS00006406EA_10116:rRNA:Rattus_norvegicus	8S-rRNA	80	40	175	50	76	89	42	65	4	51	294	61	53	430	373	1898	856	261	1459
URS0000643B88_10116:rRNA:Rattus_norvegicus	5S-rRNA	3	0	2	0	0	0	0	0	0	0	3	0	0	2	5	0	7	0	2
URS0000647009_10116:rRNA:Rattus_norvegicus	5S-rRNA	4	4	2	4	4	0	3	0	0	2	16	7	0	21	29	42	28	6	79
URS0000648714_10116:rRNA:Rattus_norvegicus	8S-rRNA	0	0	5	0	1	1	0	2	0	1	7	2	0	9	10	52	12	3	73
URS000064B988_10116:rRNA:Rattus_norvegicus	5S-rRNA	220	401	461	244	438	187	233	212	15	176	1930	174	185	2677	2261	6104	3294	1475	4866
URS0000655224_10116:rRNA:Rattus_norvegicus	5S-rRNA	3	4	4	2	2	1	2	1	0	1	30	0	1	31	23	31	39	18	42
URS000065F441_10116:rRNA:Rattus_norvegicus	5S-rRNA	4	0	0	0	0	0	2	1	0	0	2	0	0	3	6	4	4	2	5
URS00006600A3_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	1	0	1	1
URS0000664B0F_10116:rRNA:Rattus_norvegicus	8S-rRNA	9	13	13	6	12	5	6	4	0	6	65	1	5	82	72	142	105	42	138
URS000066B264_10116:rRNA:Rattus_norvegicus	5S-rRNA	28	45	150	38	106	45	18	41	2	37	454	37	16	572	427	1940	649	263	1005
URS000066BFAD_10116:rRNA:Rattus_norvegicus	5S-rRNA	0	1	0	0	1	0	0	0	0	0	1	0	0	1	3	1	5	0	3
URS000066C2F6_10116:rRNA:Rattus_norvegicus	5S-rRNA	40	421	1121	114	291	124	171	249	12	50	466	710	548	916	769	1664	2627	289	5123
URS00006721F7_10116:rRNA:Rattus_norvegicus	8S-rRNA	4	8	7	4	4	3	3	1	0	2	32	0	3	35	38	46	52	24	24
URS00006747E1_10116:rRNA:Rattus_norvegicus	5S-rRNA	265	439	479	261	520	198	397	234	20	213	2149	267	240	2920	2403	6551	3502	1630	5466
URS0000675422_10116:rRNA:Rattus_norvegicus	5S-rRNA	3	0	2	0	5	0	0	0	0	0	7	4	0	13	17	19	15	4	27
URS0000678D83_10116:rRNA:Rattus_norvegicus	5S-rRNA	110	271	195	140	148	80	31	64	5	86	792	32	52	1081	1026	2043	1201	672	1439
URS0000681EA5_10116:rRNA:Rattus_norvegicus	8S-rRNA	8	12	12	6	11	5	6	4	0	6	62	1	5	81	71	145	102	40	125
URS00006851EC_10116:rRNA:Rattus_norvegicus	5S-rRNA	3	0	0	0	2	0	2	0	0	0	0	0	0	0	1	7	3	0	3
URS0000688048_10116:rRNA:Rattus_norvegicus	5S-rRNA	27	45	147	36	107	45	17	40	2	37	445	37	15	554	418	1920	634	247	989
URS000068BAC4_10116:rRNA:Rattus_norvegicus	8S-rRNA	0	0	5	0	1	1	0	2	0	1	6	2	0	9	9	51	11	3	19
URS000068DB7A_10116:rRNA:Rattus_norvegicus	8S-rRNA	1	1	1	1	1	0	0	1	0	0	3	0	0	7	5	22	5	2	16
URS000068E002_10116:rRNA:Rattus_norvegicus	8S-rRNA	59	23	134	42	52	80	21	27	4	30	189	16	20	259	214	1208	380	152	744
URS000068E2EB_10116:rRNA:Rattus_norvegicus	8S-rRNA	9	12	11	6	11	4	6	3	0	6	70	0	5	89	70	148	108	42	126
URS00006937AE_10116:rRNA:Rattus_norvegicus	5S-rRNA	2	4	0	0	0	0	0	0	0	0	15	0	0	9	29	12	17	4	105
URS0000698146_10116:rRNA:Rattus_norvegicus	8S-rRNA	64	32	142	45	58	79	25	38	4	32	226	21	24	294	254	1274	423	180	705
URS00006A2E5A_10116:rRNA:Rattus_norvegicus	5S-rRNA	4	1	0	0	2	0	3	2	0	0	25	0	0	22	18	24	33	8	33
URS00006A9618_10116:rRNA:Rattus_norvegicus	8S-rRNA	19	27	49	13	37	15	21	33	1	20	135	40	12	217	212	691	310	98	413
URS00006BEFCF_10116:rRNA:Rattus_norvegicus	5S-rRNA	7	10	106	19	71	31	2	27	1	23	188	31	2	245	234	1502	330	86	464
URS00006C471C_10116:rRNA:Rattus_norvegicus	5S-rRNA	3	2	5	7	4	0	7	0	0	3	62	0	4	111	53	65	58	13	31
URS00006C6C27_10116:rRNA:Rattus_norvegicus	5S-rRNA	3	0	0	0	0	0	0	0	0	0	2	0	0	10	1	7	5	4	17
URS00006CE1FB_10116:rRNA:Rattus_norvegicus	8S-rRNA	1280	647	1874	794	2480	1737	2669	2998	393	840	7504	5088	2539	20858	12908	65450	27708	4481	220193
URS00006D2DB5_10116:rRNA:Rattus_norvegicus	8S-rRNA	1	1	2	1	5	1	0	9	0	2	4	2	0	45	12	90	44	4	338
URS00006D6599_10116:rRNA:Rattus_norvegicus	5S-rRNA	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
URS00006DD1E4_10116:rRNA:Rattus_norvegicus	5S-rRNA	220	398	461	244	438	187	233	212	15	176	1924	174	185	2672	2256	6105	3290	1475	4861
URS00006E79BE_10116:rRNA:Rattus_norvegicus	8S-rRNA	2	4	8	2	2	3	1	1	0	1	23	0	2	20	21	49	28	15	30
URS00006E7A73_10116:rRNA:Rattus_norvegicus	5S-rRNA	43	68	175	52	140	54	46	48	3	47	585	43	37	736	598	2263	884	400	1452
URS00006EF96A_10116:rRNA:Rattus_norvegicus	5S-rRNA	165	297	373	183	324	145	172	139	10	130	1364	118	141	1810	1558	4454	2137	1142	3188
URS00006F129F_10116:rRNA:Rattus_norvegicus	5S-rRNA	64	99	217	77	180	78	78	73	5	60	758	65	60	1056	823	3035	1192	574	2016
URS00006F51B2_10116:rRNA:Rattus_norvegicus	8S-rRNA	15	22	37	9	28	12	17	23	1	15	112	32	10	173	180	506	251	82	340
URS00006F76D3_10116:rRNA:Rattus_norvegicus	5S-rRNA	29	46	149	38	108	45	18	41	2	38	458	37	17	580	435	1945	658	266	1027
URS00007049D1_10116:rRNA:Rattus_norvegicus	8S-rRNA	0	1	21	2	8	5	0	17	0	5	12	34	2	27	20	387	46	7	70
URS0000706122_10116:rRNA:Rattus_norvegicus	5S-rRNA	9	3	4	2	3	4	2	3	0	1	20	0	2	28	31	44	37	14	59
URS0000709ED9_10116:rRNA:Rattus_norvegicus	5S-rRNA	1	0	0	0	0	0	0	0	0	0	1	0	0	0	4	1	1	1	5
URS000070B001_10116:rRNA:Rattus_norvegicus	5S-rRNA	7	10	106	19	71	31	2	27	1	23	190	31	2	245	238	1493	336	86	466
URS0000713A83_10116:rRNA:Rattus_norvegicus	5S-rRNA	10	15	4	13	16	2	8	0	0	4	71	10	8	320	131	164	276	32	206
URS0000714871_10116:rRNA:Rattus_norvegicus	5S-rRNA	111	271	195	140	150	80	31	64	5	86	795	33	52	1084	1031	2056	1207	675	1467
URS000072278E_10116:rRNA:Rattus_norvegicus	8S-rRNA	61	23	137	43	54	81	23	30	4	31	192	18	26	292	231	1297	487	160	915
URS00007289C9_10116:rRNA:Rattus_norvegicus	8S-rRNA	5	11	9	5	5	3	3	6	0	2	46	4	4	60	53	128	69	29	218
URS000072D7A4_10116:rRNA:Rattus_norvegicus	5S-rRNA	28	48	148	38	116	47	18	43	2	37	473	39	22	593	435	2015	702	283	1092
URS000075E2C7_10116:rRNA:Rattus_norvegicus	NA	12626	7731	22206	6180	19570	10758	19239	29713	5343	9665	113097	39721	12612	224128	125105	659608	200926	54289	1395669
URS00007C4790_10116:rRNA:Rattus_norvegicus	12S-rRNA	917	641	1606	544	1498	637	1652	649	60	566	312	648	777	287	832	378	1117	767	125
URS00007CBB77_10116:rRNA:Rattus_norvegicus	16S-rRNA	12151	8258	20921	6401	17287	7128	27167	5769	673	7216	4620	3267	13248	4570	13119	5310	17201	10692	1463
URS00007CD0E6_10116:rRNA:Rattus_norvegicus	12S-rRNA	193	126	383	113	275	105	337	98	8	137	61	39	161	62	166	92	246	143	10
URS00007D4C97_10116:rRNA:Rattus_norvegicus	16S-rRNA	11882	8145	20448	6280	16962	7032	26759	5666	662	7092	4525	3225	12998	4486	12854	5192	16914	10500	1444
