"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSRNOT00000077651.1-ENSRNOG00000055371.1:protein_coding",102.464371293975,4.41460438135678,0.505350774728886,8.73572299107517,2.42102603129407e-18,8.45422290127889e-15
"ENSRNOT00000075682.1-ENSRNOG00000046365.1:protein_coding",37.3803901761206,6.08154378482719,0.716042998030283,8.49326618870169,2.00909427477371e-17,2.37746924856752e-14
"ENSRNOT00000075503.1-ENSRNOG00000049271.1:protein_coding",455.445914507533,5.29364072824606,0.623415658640346,8.49135028111317,2.04249935443945e-17,2.37746924856752e-14
"ENSRNOT00000065043.3-ENSRNOG00000015021.7:protein_coding",74.3852743366495,4.38966670171526,0.525920613185796,8.34663367751377,7.02361364681428e-17,6.13161471366887e-14
"ENSRNOT00000017075.5-ENSRNOG00000011382.6:protein_coding",922.249627133555,4.54004908658721,0.550599521610872,8.24564662407357,1.64269460703666e-16,1.1472579135544e-13
"ENSRNOT00000064643.1-ENSRNOG00000020544.5:protein_coding",51.3462526923504,5.34661616525063,0.654719173436436,8.16627400292518,3.18060405831541e-16,1.56796464118068e-13
"ENSRNOT00000088104.1-ENSRNOG00000020239.6:protein_coding",72.429533697438,4.35744409321898,0.534170218778087,8.15740739569237,3.42292316633469e-16,1.56796464118068e-13
"ENSRNOT00000027430.6-ENSRNOG00000020239.6:protein_coding",72.4938817952554,4.35744696204348,0.534552725845339,8.15157560959518,3.59212976215506e-16,1.56796464118068e-13
"ENSRNOT00000011069.6-ENSRNOG00000008063.6:protein_coding",741.510599833067,4.61054961400947,0.569188641586687,8.10021366757595,5.4862744464468e-16,2.12867448522136e-13
"ENSRNOT00000058943.4-ENSRNOG00000017127.6:protein_coding",145.07128367801,4.22637206006693,0.52380092447155,8.06866094085422,7.10733365446904e-16,2.48188091214059e-13
"ENSRNOT00000027493.7-ENSRNOG00000020272.7:protein_coding",855.8283196518,4.97268088420197,0.619461218980387,8.02742888794046,9.95366293954306e-16,3.1598355440804e-13
"ENSRNOT00000057158.3-ENSRNOG00000037673.3:protein_coding",144.909796464731,4.22720926860222,0.528076473392004,8.00491876006046,1.19545567485827e-15,3.24710304219196e-13
"ENSRNOT00000011380.8-ENSRNOG00000008616.8:protein_coding",196.396805034355,3.70413797485678,0.462811899040262,8.00354956849228,1.20882988397753e-15,3.24710304219196e-13
"ENSRNOT00000012007.3-ENSRNOG00000022566.2:pseudogene",58.4163835485976,4.18484223734498,0.530036081860938,7.89539123950231,2.89405948647384e-15,6.72461165888954e-13
"ENSRNOT00000047466.3-ENSRNOG00000001149.8:protein_coding",1983.46945717004,4.46540423458516,0.566064605271999,7.8885063524498,3.0582466314242e-15,6.72461165888954e-13
"ENSRNOT00000081134.1-ENSRNOG00000001149.8:protein_coding",1983.12027678105,4.46513142642709,0.566096861063663,7.88757496029455,3.08115081736062e-15,6.72461165888954e-13
"ENSRNOT00000020483.7-ENSRNOG00000015264.7:protein_coding",115.275376671606,7.37929804105365,0.943324962016683,7.8226468483118,5.17240607229634e-15,1.06247305908581e-12
"ENSRNOT00000024532.3-ENSRNOG00000018147.3:protein_coding",46.103366387205,4.15695461818106,0.532191178653333,7.8110175157354,5.67281298654243e-15,1.10052571938923e-12
"ENSRNOT00000043626.3-ENSRNOG00000033893.4:protein_coding",284.41534811912,4.48439567393231,0.575426409588374,7.79316972458768,6.53487473216848e-15,1.20104118761749e-12
"ENSRNOT00000018864.5-ENSRNOG00000013783.5:protein_coding",37.9424666964391,4.30312736502305,0.560287683930786,7.6802105211983,1.58827361612119e-14,2.77312573374759e-12
"ENSRNOT00000076658.2-ENSRNOG00000051179.2:retained_intron",1438.23698598954,4.61686807702715,0.602725428057271,7.65998556242836,1.85953986805384e-14,3.09214915202096e-12
"ENSRNOT00000061417.4-ENSRNOG00000039969.4:protein_coding",15.3069100029017,6.93783840069215,0.937293923777003,7.40198802605571,1.3416060125335e-13,2.03690791120303e-11
