"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"rno-miR-429",19.9472700430547,1.40220980732969,0.415639112968402,63.2287883824933,1.19992243923301e-13,2.08786504426544e-11
"rno-miR-200b-3p",48.7856142432899,1.65356106619489,0.349299885596839,60.52846413378,4.53248156137212e-13,3.94325895839375e-11
"rno-miR-10a-5p",114.35727102468,0.918551555788653,0.349025578997358,59.2134476426236,8.65506792703432e-13,5.01993939767991e-11
"rno-miR-221-3p",29.4173113812852,2.12398741124349,0.501352198713394,56.0467409877981,4.10555040886693e-12,1.78591442785711e-10
"rno-miR-205",31.13048327156,1.54465053393758,0.501779419354208,42.4798314474838,3.17349673293082e-09,1.10437686305993e-07
"rno-miR-22-3p",54.7085650104933,0.29672784540149,0.481784084685173,40.6700035478658,7.68259631168677e-09,2.00565920542044e-07
"rno-miR-148a-3p",7.38129832023513,2.51873712412925,0.87244391065335,40.5695639199999,8.06874392985234e-09,2.00565920542044e-07
"rno-miR-145-5p",289.324479469883,0.682293550877469,0.344846285939974,34.8190093043582,1.33036763812366e-07,2.89354961291896e-06
"rno-miR-23a-3p",108.38652947343,0.975648338195144,0.325838582915657,32.7819531047904,3.58043474731269e-07,6.57536333899359e-06
"rno-miR-10b-5p",91.1628493116769,0.301677964785792,0.276034562958515,32.6708271411698,3.77894444769746e-07,6.57536333899359e-06
"rno-miR-107-3p",4.7926700503624,0.472551822309865,0.553099840592022,31.3959783685191,7.01539847303941e-07,1.10970848573533e-05
"rno-miR-451-5p",21.7035254021788,1.92292986887636,0.729845505482376,29.9378605272476,1.42222270194471e-06,2.06222291781983e-05
"rno-miR-24-3p",58.1967867223015,1.24502188914685,0.426452827366475,29.7118780744104,1.58669820805153e-06,2.12373452462282e-05
"rno-miR-200a-3p",12.1610652497539,2.71095175066077,0.739204284452866,29.22891178678,2.00461215134869e-06,2.49144653096195e-05
"rno-miR-99a-5p",63.5619036490501,-0.0508453541457843,0.309407711246023,28.7450783880105,2.53335650186515e-06,2.93869354216358e-05
"rno-miR-29a-3p",87.5367442071429,0.651096230298671,0.348466678642126,27.8240030989735,3.95445980835942e-06,4.30047504159087e-05
"rno-miR-27a-3p",9.23401292752035,2.11915857013515,0.67405015617014,27.1425197304877,5.49590686586576e-06,5.62522232153319e-05
"rno-miR-320-3p",14.778139703473,1.49743740959103,0.578747638941645,23.2343410355993,3.60864439586351e-05,0.000348835624933473
"rno-miR-871-3p",8.09010330770937,1.45401333167659,0.550283109185267,21.6506453126484,7.71120029003519e-05,0.000679069993770844
"rno-miR-34c-3p",215.40806247553,-0.478679499763338,0.365759328178439,21.6252844918122,7.80540222725108e-05,0.000679069993770844
"rno-miR-17-5p",30.3545630065268,-0.220396227228704,0.354971678653794,21.3018073331054,9.11242390604066e-05,0.000755029409357654
"rno-miR-16-5p",783.97264980748,-0.23255680515767,0.21613276069754,21.1694935444689,9.70788942004135e-05,0.000767805799585089
"rno-let-7c-5p",163.307518161803,1.41986958077908,0.411957966950095,20.9890319033992,0.000105829778535423,0.000800625281094066
"rno-miR-204-5p",22.6639525772676,-0.391941986580248,0.294198570149923,20.2506972174385,0.000150598875876516,0.00109184185010474
"rno-miR-203a-3p",18.1082014779343,0.196612677381585,0.509278924454821,18.5753197631058,0.000334626374334161,0.00232899956536576
"rno-miR-20a-5p",125.525331566723,-0.363231099323928,0.27953902669099,17.9172048929508,0.000457486359625733,0.00303717638121666
"rno-miR-150-5p",13.2092845712698,1.4710874746519,0.612849680189531,17.8546067661266,0.000471285990188791,0.00303717638121666
"rno-miR-7a-5p",186.866298866409,-0.409522969656306,0.248648761194648,17.255022212969,0.000626315321910812,0.00381425136422185
"rno-miR-34b-3p",853.674312039175,-0.49757002950258,0.261828926663213,17.2236090849453,0.000635708560703641,0.00381425136422185
"rno-miR-125b-5p",191.535485483525,0.685374871559206,0.339329688339915,16.055288386401,0.00110476752252252,0.00640765163063061
"rno-miR-100-5p",4.72958663846495,0.600072400993081,0.668268769594231,15.9128767029841,0.00118158853493064,0.0066321420992881
"rno-miR-223-3p",21.0405753135203,1.54044119452699,0.633608868613244,15.5704387387114,0.00138870780519237,0.00755109869073353
"rno-miR-672-5p",35.2055815074031,0.914958135174067,0.499981866004292,15.3012030933426,0.00157652942759018,0.00831260970911188
"rno-miR-743a-5p",6.87843884703879,-0.448604536058678,0.555311689130771,15.216679856971,0.00164053816935194,0.00839569533727171
"rno-miR-30d-5p",233.25893050022,0.45410631601349,0.207197898140563,13.8872074045861,0.0030627730561731,0.0152263574792606
"rno-miR-365-3p",7.72493220176746,1.82417059726123,0.568646694628296,13.3197741740636,0.00399371657518048,0.0193029634467057
"rno-miR-21-5p",51.8727988588382,-0.0499903223719843,0.43005914349332,13.1113700833531,0.0044018478480055,0.0207005817717016
"rno-miR-30a-5p",47.8873102692956,0.592945846873788,0.323063983958111,12.7946700958063,0.00510235401118932,0.0233634104722879
"rno-let-7b-5p",79.3307209432788,1.08974512738909,0.386794445814885,12.5205390535014,0.00579700109342107,0.0258635433398786
"rno-miR-210-3p",1.66822148906741,0.779019696171807,1.60247347911013,12.2037533987392,0.00671680248066878,0.0292180907909092
