"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"rno-miR-200b-3p",48.7856142432899,1.65356106619489,0.349299885596839,4.73392959568109,2.20214140248302e-06,0.000266459109700445
"rno-miR-221-3p",29.4173113812852,2.12398741124349,0.501352198713394,4.23651759520397,2.27013139088239e-05,0.00137342949148384
"rno-miR-200a-3p",12.1610652497539,2.71095175066077,0.739204284452866,3.66739182615442,0.000245037159560515,0.00988316543560744
"rno-let-7c-5p",163.307518161803,1.41986958077908,0.411957966950095,3.44663702292493,0.000567610641712726,0.01717022191181
"rno-miR-429",19.9472700430547,1.40220980732969,0.415639112968402,3.37362332749537,0.000741858061959711,0.017952965099425
"rno-miR-365-3p",7.72493220176746,1.82417059726123,0.568646694628296,3.2079155906351,0.00133700733166971,0.0269629811886725
"rno-miR-27a-3p",9.23401292752035,2.11915857013515,0.67405015617014,3.1439182243884,0.00166702017261759,0.0288156344123897
"rno-miR-205",31.13048327156,1.54465053393758,0.501779419354208,3.07834573192648,0.00208153270378251,0.0314831821447105
"rno-miR-23a-3p",108.38652947343,0.975648338195144,0.325838582915657,2.99426890905578,0.0027510336452618,0.0369861190085197
"rno-miR-24-3p",58.1967867223015,1.24502188914685,0.426452827366475,2.91948325641403,0.00350612228513903,0.0424240796501823
"rno-miR-148a-3p",7.38129832023513,2.51873712412925,0.87244391065335,2.88699031923214,0.00388946197450712,0.0427840817195783
"rno-let-7b-5p",79.3307209432788,1.08974512738909,0.386794445814885,2.81737532474969,0.00484179085091293,0.0488213910800387
"rno-miR-871-3p",8.09010330770937,1.45401333167659,0.550283109185267,2.64230049479323,0.00823449619478607,0.0685213689662098
"rno-miR-451-5p",21.7035254021788,1.92292986887636,0.729845505482376,2.63470810525228,0.00842096652593873,0.0685213689662098
"rno-miR-10a-5p",114.35727102468,0.918551555788653,0.349025578997358,2.63175999428858,0.00849438458258799,0.0685213689662098
"rno-miR-320-3p",14.778139703473,1.49743740959103,0.578747638941645,2.58737540999629,0.00967101626785638,0.0731370605256638
"rno-miR-125a-5p",30.201969051324,1.06072296959315,0.417283993699814,2.54196898421227,0.0110229954569291,0.0784577911934365
"rno-miR-199a-3p",13.6736968545064,1.57543033998163,0.638586356181981,2.46705919212072,0.0136227836210611,0.0915753787860216
"rno-miR-223-3p",21.0405753135203,1.54044119452699,0.633608868613244,2.43121785510752,0.0150481633945067,0.0958330405650161
"rno-miR-150-5p",13.2092845712698,1.4710874746519,0.612849680189531,2.40040506213032,0.0163769383130695,0.0990804767940702
"rno-miR-23b-3p",46.4883283094697,0.687697798502512,0.290348204938715,2.36852781179642,0.0178590376076873,0.10290207383477
"rno-let-7d-5p",18.8127934190388,1.02104935606796,0.43525188221798,2.34588154074105,0.018982139350066,0.104401766425363
"rno-miR-741-3p",179.003535452925,-0.399800134925606,0.1811173223772,-2.20740970371112,0.027285449056694,0.143205642978504
"rno-miR-509-5p",1.05514494337074,3.31012096162136,1.50899732240914,2.19358968532609,0.0282649206130844,NA
