"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"rno-miR-200b-3p",48.7856142432899,2.8879623738306,0.362979416235356,7.9562703686703,1.77302734736038e-15,3.65243633556238e-13
"rno-miR-429",19.9472700430547,3.27700282700816,0.42820453622286,7.65289143341218,1.96509813363089e-14,2.02405107763982e-12
"rno-miR-221-3p",29.4173113812852,3.78447079448014,0.51649385301097,7.32723298141509,2.34953169874286e-13,1.61334509980343e-11
"rno-miR-10a-5p",114.35727102468,2.59699001974018,0.359141152683076,7.23111233658008,4.79053865146339e-13,2.46712740550365e-11
"rno-miR-205",31.13048327156,3.20283854792734,0.517335974221559,6.19102229019871,5.97752546079962e-10,2.46274048984944e-08
"rno-miR-148a-3p",7.38129832023513,5.09314109713573,0.87989859958474,5.78832731355567,7.10907820773205e-09,2.44078351798801e-07
"rno-miR-200a-3p",12.1610652497539,4.31140345174343,0.760779475109475,5.66708697171808,1.45245628528757e-08,4.27437135384627e-07
"rno-miR-451-5p",21.7035254021788,4.06731392833737,0.746619270045963,5.447641243022,5.1042179380867e-08,1.31433611905733e-06
"rno-miR-23a-3p",108.38652947343,1.76815932855801,0.338809172525976,5.21874692876694,1.80137699100047e-07,4.12315177940108e-06
"rno-miR-10b-5p",91.1628493116769,1.4457293543751,0.287609228381386,5.02671406794355,4.98955451349003e-07,1.02784822977895e-05
"rno-miR-29a-3p",87.5367442071429,1.79646453510173,0.361073622384504,4.97534138117873,6.51327502497162e-07,1.21975877740378e-05
"rno-miR-27a-3p",9.23401292752035,3.44137839130343,0.702521882513781,4.8986066867973,9.65186276831486e-07,1.63411017096661e-05
"rno-miR-22-3p",54.7085650104933,2.4125580362191,0.493811737634429,4.88558260639225,1.03123457391097e-06,1.63411017096661e-05
"rno-miR-34c-3p",215.40806247553,-1.80967739940033,0.385673565860488,-4.69225158162629,2.70214548102396e-06,3.97601406493526e-05
