"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"rno-miR-429",19.9472700430547,3.27700282700816,0.42820453622286,63.2287883824933,1.19992243923301e-13,2.08786504426544e-11
"rno-miR-200b-3p",48.7856142432899,2.8879623738306,0.362979416235356,60.52846413378,4.53248156137212e-13,3.94325895839375e-11
"rno-miR-10a-5p",114.35727102468,2.59699001974018,0.359141152683076,59.2134476426236,8.65506792703432e-13,5.01993939767991e-11
"rno-miR-221-3p",29.4173113812852,3.78447079448014,0.51649385301097,56.0467409877981,4.10555040886693e-12,1.78591442785711e-10
"rno-miR-205",31.13048327156,3.20283854792734,0.517335974221559,42.4798314474838,3.17349673293082e-09,1.10437686305993e-07
"rno-miR-22-3p",54.7085650104933,2.4125580362191,0.493811737634429,40.6700035478658,7.68259631168677e-09,2.00565920542044e-07
"rno-miR-148a-3p",7.38129832023513,5.09314109713573,0.87989859958474,40.5695639199999,8.06874392985234e-09,2.00565920542044e-07
"rno-miR-145-5p",289.324479469883,1.63293741712801,0.35544205677222,34.8190093043582,1.33036763812366e-07,2.89354961291896e-06
"rno-miR-23a-3p",108.38652947343,1.76815932855801,0.338809172525976,32.7819531047904,3.58043474731269e-07,6.57536333899359e-06
"rno-miR-10b-5p",91.1628493116769,1.4457293543751,0.287609228381386,32.6708271411698,3.77894444769746e-07,6.57536333899359e-06
"rno-miR-107-3p",4.7926700503624,2.31913442003759,0.577657764068093,31.3959783685191,7.01539847303941e-07,1.10970848573533e-05
"rno-miR-451-5p",21.7035254021788,4.06731392833737,0.746619270045963,29.9378605272476,1.42222270194471e-06,2.06222291781983e-05
"rno-miR-24-3p",58.1967867223015,2.00764240427048,0.444455712946441,29.7118780744104,1.58669820805153e-06,2.12373452462282e-05
"rno-miR-200a-3p",12.1610652497539,4.31140345174343,0.760779475109475,29.22891178678,2.00461215134869e-06,2.49144653096195e-05
"rno-miR-99a-5p",63.5619036490501,1.04952126992803,0.324399779094411,28.7450783880105,2.53335650186515e-06,2.93869354216358e-05
"rno-miR-29a-3p",87.5367442071429,1.79646453510173,0.361073622384504,27.8240030989735,3.95445980835942e-06,4.30047504159087e-05
"rno-miR-27a-3p",9.23401292752035,3.44137839130343,0.702521882513781,27.1425197304877,5.49590686586576e-06,5.62522232153319e-05
"rno-miR-320-3p",14.778139703473,2.3080461048731,0.612949261873121,23.2343410355993,3.60864439586351e-05,0.000348835624933473
"rno-miR-871-3p",8.09010330770937,2.65860288817022,0.580297908062044,21.6506453126484,7.71120029003519e-05,0.000679069993770844
"rno-miR-34c-3p",215.40806247553,-1.80967739940033,0.385673565860488,21.6252844918122,7.80540222725108e-05,0.000679069993770844
"rno-miR-17-5p",30.3545630065268,-1.54271880578351,0.41158325585688,21.3018073331054,9.11242390604066e-05,0.000755029409357654
"rno-miR-16-5p",783.97264980748,-0.814209983038528,0.224471401215651,21.1694935444689,9.70788942004135e-05,0.000767805799585089
"rno-let-7c-5p",163.307518161803,1.94505153175325,0.425411448291879,20.9890319033992,0.000105829778535423,0.000800625281094066
"rno-miR-204-5p",22.6639525772676,-1.65201574370088,0.375772076219192,20.2506972174385,0.000150598875876516,0.00109184185010474
"rno-miR-203a-3p",18.1082014779343,1.94989584299215,0.526597210900903,18.5753197631058,0.000334626374334161,0.00232899956536576
"rno-miR-20a-5p",125.525331566723,-1.13077066800676,0.300492406384878,17.9172048929508,0.000457486359625733,0.00303717638121666
"rno-miR-150-5p",13.2092845712698,2.7136723386051,0.638828496376272,17.8546067661266,0.000471285990188791,0.00303717638121666
