"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSRNOT00000081838.1-ENSRNOG00000055604.1:protein_coding",30.5473714676023,4.11683986113828,0.811775179095267,5.07140396399722,3.94891529510397e-07,0.000674869623933268
"ENSRNOT00000076099.1-ENSRNOG00000023577.7:protein_coding",29.1052461661542,3.59074448348937,0.76383174389806,4.70096262976023,2.58937904375549e-06,0.00134411594694195
"ENSRNOT00000039592.5-ENSRNOG00000022181.5:protein_coding",111.20351999272,2.85138148936686,0.61059538897937,4.66983790056626,3.01437498088932e-06,0.00134411594694195
"ENSRNOT00000088851.1-ENSRNOG00000055769.1:protein_coding",27.140326078384,4.05198033424741,0.875880198200345,4.62618100348991,3.72469819080133e-06,0.00134411594694195
"ENSRNOT00000036094.2-ENSRNOG00000025987.2:protein_coding",42.3299465982416,3.72410186675944,0.808793689333307,4.6045140013756,4.13430203359959e-06,0.00134411594694195
"ENSRNOT00000074649.2-ENSRNOG00000048205.2:protein_coding",31.6406125299124,-2.90099882253916,0.636291488182129,-4.55922934129961,5.13416791115465e-06,0.00134411594694195
"ENSRNOT00000003770.6-ENSRNOG00000002810.6:protein_coding",9.85878093480282,4.68979059620684,1.03196080912476,4.54454331476446,5.50544858314433e-06,0.00134411594694195
"ENSRNOT00000078734.1-ENSRNOG00000059091.1:protein_coding",93.658248128719,2.89674288059624,0.646072188219105,4.48362107736149,7.33869310364106e-06,0.00139476267225478
"ENSRNOT00000078034.1-ENSRNOG00000023541.6:protein_coding",10.108968077139,4.89123480747813,1.0909573785198,4.48343345375647,7.34515158004272e-06,0.00139476267225478
"ENSRNOT00000089975.1-ENSRNOG00000011180.3:protein_coding",13.3430977886091,3.3173951408023,0.746282330822025,4.44522803742146,8.77986867542689e-06,0.00150047955663045
"ENSRNOT00000055970.4-ENSRNOG00000018309.7:protein_coding",36.197214301848,2.90138378457768,0.66192767557485,4.3832338360199,1.16930486602207e-05,0.00181667456002884
"ENSRNOT00000048614.2-ENSRNOG00000030150.4:protein_coding",34.523902536626,2.80697658736572,0.68370143217026,4.10555902809152,4.03338268766788e-05,0.005744209177687
"ENSRNOT00000023430.6-ENSRNOG00000042879.3:protein_coding",11.6199019394937,4.10188366545677,1.01002755751306,4.06116014849794,4.88294603147621e-05,0.00608693718570746
