"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSRNOT00000072497.2-ENSRNOG00000055067.1:rRNA",47.7073542579814,1.73778949928465,0.274054982163772,6.34102502192851,2.28241463579502e-10,7.23525439547023e-08
"ENSRNOT00000073510.1-ENSRNOG00000046194.1:miRNA",50.6595693003242,3.96579543410791,0.637457349496307,6.22127180311203,4.93141006338e-10,7.8162849504573e-08
"ENSRNOT00000087730.1-ENSRNOG00000052433.1:lincRNA",79.9037605315206,3.00847360613676,0.541195709661599,5.55893838851366,2.7142048038684e-08,2.86800974275428e-06
"ENSRNOT00000074819.1-ENSRNOG00000047794.1:rRNA",19.1582883308429,2.60094231383549,0.482084145850042,5.39520400375195,6.844574056823e-08,4.92323318844796e-06
"ENSRNOT00000075746.3-ENSRNOG00000047590.3:lincRNA",141.394525801091,3.02317974964778,0.562714038966835,5.37249746816066,7.7653520322523e-08,4.92323318844796e-06
"ENSRNOT00000054649.3-ENSRNOG00000060018.1:rRNA",30.8830777816419,1.90699898118627,0.359618826264366,5.30283411743406,1.14018521293132e-07,6.0239785416538e-06
"ENSRNOT00000053226.3-ENSRNOG00000035103.3:rRNA",31.9729034283412,1.77611303444907,0.358566758445629,4.95336779725047,7.29399199645905e-07,3.30313637553931e-05
"ENSRNOT00000052795.3-ENSRNOG00000055521.1:rRNA",29.0141121325014,1.91188777434109,0.398831328014063,4.79372516662902,1.63712518463509e-06,4.8466182358174e-05
"ENSRNOT00000052439.3-ENSRNOG00000034316.3:rRNA",27.1848433194145,1.95069745317257,0.407980430935795,4.78135053854962,1.74121435847084e-06,4.8466182358174e-05
"ENSRNOT00000069467.1-ENSRNOG00000044200.1:rRNA",27.1848433194145,1.95069745317257,0.407980430935795,4.78135053854962,1.74121435847084e-06,4.8466182358174e-05
"ENSRNOT00000053449.3-ENSRNOG00000055727.1:rRNA",28.5725198875321,1.91711083488607,0.40161619983953,4.77348980357881,1.81060720296788e-06,4.8466182358174e-05
"ENSRNOT00000073815.2-ENSRNOG00000050589.2:rRNA",27.5061577126041,1.93909105945561,0.407169824246056,4.76236435999689,1.9133780432352e-06,4.8466182358174e-05
"ENSRNOT00000073261.1-ENSRNOG00000050259.1:rRNA",27.8036901543636,1.91725999870463,0.403236064849083,4.75468383370468,1.98757214718064e-06,4.8466182358174e-05
"ENSRNOT00000071067.2-ENSRNOG00000046171.3:processed_transcript",141.145276140548,2.58764668025165,0.568986001403834,4.54782134159235,5.42041189444718e-06,0.000122733612181411
"ENSRNOT00000079888.1-ENSRNOG00000060497.1:misc_RNA",4.32706091248962,-1.82296340965346,0.413270689811448,-4.41106387313645,1.02863966657815e-05,0.000168827636390896
"ENSRNOT00000077643.1-ENSRNOG00000058896.1:rRNA",49.8232754444505,1.58629757795773,0.361937601961974,4.38279297138182,1.17167444813871e-05,0.000168827636390896
"ENSRNOT00000084761.1-ENSRNOG00000056172.1:rRNA",49.8232754444505,1.58629757795773,0.361937601961974,4.38279297138182,1.17167444813871e-05,0.000168827636390896
"ENSRNOT00000085643.1-ENSRNOG00000059852.1:rRNA",49.8232754444505,1.58629757795773,0.361937601961974,4.38279297138182,1.17167444813871e-05,0.000168827636390896
"ENSRNOT00000087159.1-ENSRNOG00000058725.1:rRNA",49.8232754444505,1.58629757795773,0.361937601961974,4.38279297138182,1.17167444813871e-05,0.000168827636390896
"ENSRNOT00000089050.1-ENSRNOG00000051831.1:rRNA",49.8232754444505,1.58629757795773,0.361937601961974,4.38279297138182,1.17167444813871e-05,0.000168827636390896
"ENSRNOT00000089300.1-ENSRNOG00000059394.1:rRNA",49.8232754444505,1.58629757795773,0.361937601961974,4.38279297138182,1.17167444813871e-05,0.000168827636390896
"ENSRNOT00000090107.1-ENSRNOG00000053888.1:rRNA",49.8232754444505,1.58629757795773,0.361937601961974,4.38279297138182,1.17167444813871e-05,0.000168827636390896
"ENSRNOT00000092862.1-ENSRNOG00000022163.7:antisense",11.7191249234508,3.68295397908515,0.91148979129448,4.04058719500817,5.33175366694304e-05,0.000734854744530845
"ENSRNOT00000091643.1-ENSRNOG00000054709.1:lincRNA",5.32004389796195,4.17255648367641,1.03857489772178,4.01757879266036,5.87991775942697e-05,0.000766752613116573
"ENSRNOT00000078361.1-ENSRNOG00000056831.1:lincRNA",29.2409469028945,3.31206171690341,0.825750529957021,4.01097134878715,6.04694489839569e-05,0.000766752613116573
"ENSRNOT00000081418.1-ENSRNOG00000060041.1:lincRNA",5.64675966754338,4.07965711165233,1.02117700765087,3.99505382620908,6.46795565267594e-05,0.000788593054576259
"ENSRNOT00000053353.3-ENSRNOG00000048135.2:rRNA",12.1137549409727,1.83087213428675,0.461844069551014,3.96426468367701,7.3622529844673e-05,0.000828349047491411
"ENSRNOT00000030993.6-ENSRNOG00000022163.7:antisense",11.6466616400545,3.6611368921351,0.925143989812029,3.95736980670324,7.57795658588357e-05,0.000828349047491411
"ENSRNOT00000092884.1-ENSRNOG00000022163.7:antisense",11.6466616400545,3.6611368921351,0.925143989812029,3.95736980670324,7.57795658588357e-05,0.000828349047491411
"ENSRNOT00000002030.7-ENSRNOG00000001482.7:processed_transcript",10.933889245265,3.20477078305639,0.818608323738682,3.91490129054616,9.04412007415035e-05,0.000955662021168554
"ENSRNOT00000092100.1-ENSRNOG00000005323.8:processed_transcript",30.0309172106543,2.38736634960869,0.628295538345935,3.79975060127551,0.000144841779256623,0.00145733574682362
"ENSRNOT00000072266.2-ENSRNOG00000047386.3:processed_transcript",6.92963622634242,3.60717252254994,0.950764306568674,3.7939713319364,0.000148256798950672,0.00145733574682362
"ENSRNOT00000069133.1-ENSRNOG00000043866.1:Mt_rRNA",590873.910381617,-1.85410034134288,0.489434077199249,-3.78825347011559,0.000151710030426433,0.00145733574682362
"ENSRNOT00000091624.1-ENSRNOG00000054077.1:lincRNA",3.10735926112426,3.15973710880381,0.872926610881408,3.61970533309022,0.000294938690638858,0.00274986955683877
"ENSRNOT00000079629.1-ENSRNOG00000059278.1:lincRNA",3.06474934343523,3.15949356548044,0.87498502075975,3.61091160479187,0.000305122650592328,0.0027635394353648
"ENSRNOT00000076284.1-ENSRNOG00000005667.8:processed_transcript",2.78379348831208,-3.66070594377172,1.02476471818018,-3.57224041658318,0.000353940252052852,0.00311664055279873
"ENSRNOT00000072005.1-ENSRNOG00000050367.1:miRNA",4.4793356184411,3.72140626422229,1.05720879662687,3.52002960635193,0.000431498630307667,0.0036968936704738
"ENSRNOT00000089399.1-ENSRNOG00000047386.3:processed_transcript",5.93831479590332,3.56524767313767,1.01511931363039,3.51214642975041,0.000444503018033408,0.00370809096622606
"ENSRNOT00000081846.1-ENSRNOG00000056835.1:rRNA",19.2438910258882,1.45108888594873,0.416890130331627,3.48074655735894,0.000500018380935964,0.00406425196812053
"ENSRNOT00000088694.1-ENSRNOG00000053236.1:lincRNA",9.55803412593867,3.37802458803231,0.974871679179611,3.46509664828405,0.000530040958346245,0.00420057459489399
"ENSRNOT00000092467.1-ENSRNOG00000047386.3:processed_transcript",5.73317170844046,3.46742013772447,1.00886503832983,3.43695143154603,0.000588301085174878,0.00454857180488869
"ENSRNOT00000087930.1-ENSRNOG00000055963.1:lincRNA",8.59340922116976,2.14899798591528,0.633444491161263,3.39255927851804,0.000692429478007168,0.00522619391733981
"ENSRNOT00000080877.1-ENSRNOG00000058787.1:lincRNA",83.4416764746899,2.41118463889458,0.713229204248593,3.38065887449859,0.000723122567573546,0.00533092683536777
