genes
Dclk1
Samd4a
Cyp2a2
Pdia6
Lactb
Abcd2
Enpp4
Xpnpep2
Retreg2
Slc1a3
Eif3a
Sec16b
Magohb
Cipc
Sesn1
Adora2b
Slc6a1
Gp1ba
Tnfsf4
Pde3b
Tyms
Rabl6
Fam167a
Galnt5
Aen
Fndc8
Mageb18
Rtca
Entpd7
Apaf1
Nabp1
Usp31
Add1
Mppe1
Sell
Rarb
Exoc6
Rap1gds1
Shmt2
Mycn
Arfgef1
Clcc1
Mdfic
Sox9
Sept8
Nefm
Tagln2
Eya4
Fam133b
Tnrc18
Cul5
Hey2
Vstm5
Dusp3
Bag5
Mthfs
Cwf19l2
Pafah1b1
Nrip3
Ypel5
Oat
Fnip1
Vangl2
Ebf3
Gnai2
Crkl
Atp1b3
Syngr3
Stag3
Lgalsl
Marcksl1
Scd
Rbpms2
Cyp24a1
Helz
Smurf2
Xkr4
Abcb1a
Grb2
Add3
St6galnac3
Adra2a
Elmod1
Cntd1
Dync1li2
Dkk2
Tor1b
Zfp655
Fkbp3
Afdn
Ube2n
Rbm6
Insyn2
RGD1359108
Rap2c
Snx27
Nol4
Elf2
Hmgb2
Ucn2
Osr1
Tnfrsf1b
Tbc1d10b
Dsc2
Igsf10
Spats2
Apol9a
Gpr155
B3galt2
Acsl1
Zfp385a
Fam49a
Nme4
Galnt14
Dnmt3a
Slc39a2
Katnbl1
Ino80
Nr4a2
Prpf4b
B4galt5
Vhl
Erlin1
Etnk1
Chuk
Car5b
Cdc14a
Hapln1
Sec24a
Mab21l2
Vdac3
RGD1305347
Cdk2ap1
Ldlrad4
Tfap2b
Nsg1
Extl1
Dusp6
Usp49
Ahrr
Ubac2
Zfyve16
Ccnj
Kat7
Gfer
Snx10
Ythdc1
Hnrnpab
Itga6
Kif23
Tex29
Tmed2
Ublcp1
Poldip3
Epn2
Slc39a1
Smad7
Efhd2
Iars
Amotl2
Entpd6
Slc7a1
Nup210
Tmem38b
Mgme1
Twistnb
Nap1l3
Notch1
Rer1
Mpp6
Sfrp1
Eci2
Mospd1
Wnk1
S100pbp
Irf4
Sumf1
Hapln2
Nek6
Cul2
Pcdh17
LOC100294508
Elf5
Aifm2
Npc1
Gca
Pip4p1
Trmt10c
Usp47
Nptx1
Pik3cd
Gpr22
Fzd4
Lefty1
Cnih4
Fam110b
Kctd4
Slc44a2
Traf3
Sec14l4
Arhgef3
Cpsf7
Paqr9
Prr9
Cers3
Mknk2
Rad17
Bmf
Slc25a42
Stk10
Vamp2
Serpini1
Fam81a
Atp13a2
Fbxo33
Thrb
Pdzd8
Fras1
Pptc7
Wap
Dynlt3
Abr
Dnajc27
Bcl2l11
Casc4
Rad23b
Nedd4
Kbtbd2
Haus4
Cand1
Dram2
Eef1akmt2
Arl6ip1
Gnpnat1
Mbd6
Slc25a54
Zc3h12a
Chp2
Xpo7
Dsel
Akirin1
Atp6v0d1
Cacul1
Fn1
Usp48
Nr3c2
Casp7
Hoxd10
Nfatc3
Strn3
Uspl1
Nedd9
Cfap45
Sema5a
Pank1
Cdc37l1
Myh11
Cdc7
Lamp1
Insig1
Bmp5
Erlin2
Rps19bp1
Mapk8
Poglut1
Tmem170a
Rab34
Eml5
Glcci1
Ist1
Zfp583
Prl3b1
Tmem202
Tor2a
Trmt6
Zdhhc21
Ywhab
Rtn4rl1
Szrd1
MGC94207
Atp23
Chodl
Gpr132
Nmrk1
Wbp11
Camk2d
Adpgk
Ccnjl
Dpysl4
Rabgap1
Tmprss2
Ankrd42
Dnajb5
Megf9
Mylk
Ccne2
Rfxank
Eri1
Fhl1
Stxbp3
Rgs1
Ccdc71
Ccnt2
Ptpn13
Senp7
Bicd1
Upb1
N4bp1
L2hgdh
Irs1
Zhx1
Sstr1
Polr3e
Plk2
Zic5
Klf11
Prp2
Map1lc3b
Fam135a
Nox1
MGC114246
Edem1
Ptafr
Tbl1xr1
Plxnd1
Pgm1
Mboat1
Ankrd44
Abtb2
Urgcp
Man1a2
St6galnac5
Runx1
Angel2
Zfp275
Stt3a
Armh4
Cdc40
Rnf145
Galnt18
Cxcl12
Hpgd
Slc15a2
Zfyve1
Kcna6
Fst
Tgfb2
Dip2c
F13b
Eif2b5
Crat
Mitd1
Cmahp
Il4r
Calb1
Ripk2
Btnl7
Phex
Taz
Polr3f
Uqcc1
Rnf2
Aftph
Trhde
Txnrd1
Elk1
Vasn
Ube4b
RGD1309104
Rev3l
Tnfaip6
Klhl29
Ppp1r3b
Lipt2
Fbxo9
Rbsn
Fgd4
Mgrn1
Plod1
Tex37
Cemip2
Zc3hav1
Itga7
Raet1l
Spast
Rbm26
Marc1
Gmppb
Tbpl1
Myt1
Apbb3
Rab15
Slc7a6
Trappc8
Ctsql2
Mfsd2a
Plekha8
Col4a1
Gcc2
Nefl
Ssbp3
Elavl4
Pth
Inpp4a
Nrbp1
Aldh1a2
Cox15
Nme6
Cpsf6
Synj1
Lpxn
Kdm3a
Tent5a
Inpp1
Flnb
Nlk
Alkal2
Nfib
G6pd
Pcgf5
Tox3
Gpr165
Mapre2
Tubb3
Shoc2
Tent4b
Zbtb20
C1galt1
RGD1309106
Dolpp1
Scel
Pip4k2b
Zdhhc17
Pdgfra
Gabarapl2
Skp2
Gosr2
Gria4
F3
Bap1
Ubxn2b
Mtf1
Dph6
Gatc
Ncoa6
Cyb561d1
Mttp
Sema4b
Pdgfrb
Camsap2
Msantd4
Aldh1a1
Meig1
Zfp622
Zeb1
Wdr47
Wrb
Thap12
Stk4
Pomk
Mxi1
Usp40
Atl2
Pbx2
Nr2f6
Brpf1
Dcaf7
Stxbp1
Nrarp
Map3k14
Dot1l
Yaf2
Tln1
St6galnac6
Ap1g1
Trak2
Abca8a
Nkapd1
Siah2
Tlk2
Slc2a10
Ccdc134
Acer1
Grm3
Gtf3c4
Sms
Oxtr
Abl1
Ascc3
Srsf1
Mybl1
Satb2
Lhx2
Zfp189
Tob1
Crhbp
Zfp691
Glrx2
Slc25a24
Dcun1d1
Snn
Prkaa2
Aarsd1
Cabp7
Rai14
Luzp1
Bcat1
Ppp1r11
Tbkbp1
Pced1a
Sema4d
Plch1
Slc35a2
Kif2b
Ezr
Gtf2h1
Vps37b
Rnf146
Galnt3
Pou6f2
Six4
Nectin1
Has3
Fign
Ckap4
Bsn
Ltbp1
Dlx3
Bach2
Pdik1l
Pkn2
Reck
Tmem198b
Blcap
Rhebl1
Adgrb3
Ap1s2
Klhl14
Aqp6
Mtmr10
Bmp3
Ndc1
Ppp1r9b
Rps6kb1
Ddx5
Sorl1
Peg3
Foxo1
Lcp2
Lrig2
Pax9
Ncoa1
RGD1560108
Suv39h1
Galnt2
Zbtb33
Trmt1
Fbxo5
Zc3h13
Zfp652
Ppp3r1
Gsdme
Maml1
Ric8b
Gon7
Fam107a
Asic1
Rcn1
Rab4b
Crbn
Btnl5
Megf8
Ier2
Aak1
Slc25a35
Prr16
Wdr37
Naf1
Zup1
Ptpn21
Pawr
Zfp281
Fjx1
Ier5
Slc24a3
Trarg1
Neu1
Ankrd13a
Rnmt
Vsig10
Ror1
Wdr20
Mrpl40
Slc12a6
Meis2
Amt
Nr1d2
Tbc1d2b
Srpra
Gem
Akap6
Sertad3
Inpp5a
Atxn1
Foxb1
Mta2
Ambra1
Necap1
Hykk
Mettl15
Cript
Prl7a4
Fgd6
Gspt1
March2
Hsp90b1
Htr2c
Slc35f1
Ugt8
Speg
Ccdc22
Ppp1r10
Notch2
Slc6a15
Tmem120b
Socs1
Scn9a
Ctag2
Cnot6l
Tmem41b
Tmem30c
Ctnnd2
Rapgef2
Rock2
Hmgcs1
Itpr2
Coil
Rab11fip4
Sec24c
Pitpnm1
Apobec3
Ccm2
Lrrc61
Rfx7
Tmem110
Actr3
Samd4b
Pax6
Mboat7l1
Fam76a
Map3k7
Ercc6
Nectin2
Zpr1
Rpusd3
Lpcat2
Ing5
Ppp1r3a
Hectd2
Arid1a
Kif1c
Crem
Prkaa1
Dixdc1
Sema6b
Mprip
Pmp22
Acta2
Sec14l1
Acvr2a
Actg1
Hnf4g
Elmo1
Prpf40a
Gmfb
Hlx
Abhd17c
Serinc5
Rnf144b
Tspyl4
E2f6
Igf2bp2
Tsr2
Mrap
Prkcb
RSA-14-44
Nfe2l2
Ppp2r3a
Tdg
Ccp110
Ctnnal1
Adrb2
Cmpk1
Runx2
Trim2
Npc2
Mboat2
Socs5
Usp25
Alg6
Creb5
Ube3b
Limd2
Ppp1r13b
Mef2a
Pom121
Ptpn12
Scamp4
Nfat5
Limk2
Dcun1d4
Gltp
Sdf2
Hic2
RGD1305464
Rgl1
Cacnb4
Sorcs3
Rspo1
Pttg1ip
Slit2
Cops8
Pcdhb6
Zmat3
Ppp3cb
Mamdc4
Ybx1
Zfp105
Rere
Xpo4
Armc12
Nck2
Gtf2e1
Pcsk9
Dnajb9
Gfpt2
